wvfFind_event40611_trackID18_opNum6.root                      Event= 40611, Track=  18, Score=0.800
wvfFind_event52304_trackID3_opNum5.root                       Event= 52304, Track=   3, Score=0.726
wvfFind_event12714_trackID2_opNum5.root                       Event= 12714, Track=   2, Score=0.836
wvfFind_event6886_trackID12_opNum7_merged.root                Event=  6886, Track=  12, Score=0.847
wvfFind_event83888_trackID21_opNum9.root                      Event= 83888, Track=  21, Score=0.590
wvfFind_event8833_trackID1_opNum4_merged.root                 Event=  8833, Track=   1, Score=0.995
wvfFind_event75838_trackID11_opNum4_merged.root               Event= 75838, Track=  11, Score=0.752
wvfFind_event18849_trackID1_opNum7.root                       Event= 18849, Track=   1, Score=0.950
wvfFind_event43740_trackID6_opNum7.root                       Event= 43740, Track=   6, Score=0.703
wvfFind_event16106_trackID1_opNum5.root                       Event= 16106, Track=   1, Score=0.586
wvfFind_event85069_trackID24_opNum9.root                      Event= 85069, Track=  24, Score=0.850
wvfFind_event70855_trackID8_opNum8.root                       Event= 70855, Track=   8, Score=0.713
wvfFind_event10460_trackID13_opNum9.root                      Event= 10460, Track=  13, Score=0.726
wvfFind_event6245_trackID7_opNum8.root                        Event=  6245, Track=   7, Score=0.646
wvfFind_event60571_trackID8_opNum7_merged.root                Event= 60571, Track=   8, Score=0.834
wvfFind_event670_trackID9_opNum5.root                         Event=   670, Track=   9, Score=0.509
wvfFind_event16134_trackID23_opNum7_merged.root               Event= 16134, Track=  23, Score=0.973
wvfFind_event15186_trackID7_opNum8.root                       Event= 15186, Track=   7, Score=0.704
wvfFind_event79263_trackID13_opNum6.root                      Event= 79263, Track=  13, Score=0.536
wvfFind_event69906_trackID22_opNum6.root                      Event= 69906, Track=  22, Score=0.723
wvfFind_event2637_trackID4_opNum9.root                        Event=  2637, Track=   4, Score=0.710
wvfFind_event32548_trackID3_opNum5.root                       Event= 32548, Track=   3, Score=0.857
wvfFind_event53326_trackID6_opNum5.root                       Event= 53326, Track=   6, Score=0.497
wvfFind_event55022_trackID2_opNum5.root                       Event= 55022, Track=   2, Score=0.783
wvfFind_event33957_trackID11_opNum5_merged.root               Event= 33957, Track=  11, Score=0.586
wvfFind_event67614_trackID30_opNum8_2.root                    Event= 67614, Track=  30, Score=0.808
wvfFind_event27211_trackID21_opNum8_merged.root               Event= 27211, Track=  21, Score=0.734
wvfFind_event78845_trackID6_opNum5.root                       Event= 78845, Track=   6, Score=0.721
wvfFind_event12510_trackID7_opNum8.root                       Event= 12510, Track=   7, Score=0.717
wvfFind_event23_trackID18_opNum9.root                         Event=    23, Track=  18, Score=0.729
wvfFind_event62629_trackID0_opNum5.root                       Event= 62629, Track=   0, Score=0.847
wvfFind_event38308_trackID10_opNum9.root                      Event= 38308, Track=  10, Score=0.410
wvfFind_event42819_trackID7_opNum6_merged.root                Event= 42819, Track=   7, Score=0.567
wvfFind_event5219_trackID15_opNum5.root                       Event=  5219, Track=  15, Score=0.874
wvfFind_event16185_trackID6_opNum9.root                       Event= 16185, Track=   6, Score=0.768
wvfFind_event77379_trackID8_opNum7.root                       Event= 77379, Track=   8, Score=0.800
wvfFind_event28042_trackID7_opNum5_merged.root                Event= 28042, Track=   7, Score=0.739
wvfFind_event32158_trackID11_opNum6_2.root                    Event= 32158, Track=  11, Score=0.551
wvfFind_event86217_trackID3_opNum3_merged.root                Event= 86217, Track=   3, Score=1.000
wvfFind_event24885_trackID11_opNum6.root                      Event= 24885, Track=  11, Score=0.993
wvfFind_event53798_trackID4_opNum5.root                       Event= 53798, Track=   4, Score=0.730
wvfFind_event92232_trackID12_opNum6_merged.root               Event= 92232, Track=  12, Score=0.784
wvfFind_event2870_trackID6_opNum5.root                        Event=  2870, Track=   6, Score=0.461
wvfFind_event64480_trackID3_opNum5.root                       Event= 64480, Track=   3, Score=0.635
wvfFind_event53932_trackID10_opNum5_merged.root               Event= 53932, Track=  10, Score=0.758
wvfFind_event32158_trackID11_opNum6.root                      Event= 32158, Track=  11, Score=0.551
wvfFind_event95157_trackID4_opNum9_2.root                     Event= 95157, Track=   4, Score=0.435
wvfFind_event28462_trackID17_opNum9.root                      Event= 28462, Track=  17, Score=0.814
wvfFind_event41380_trackID25_opNum6.root                      Event= 41380, Track=  25, Score=0.569
wvfFind_event25862_trackID12_opNum8.root                      Event= 25862, Track=  12, Score=0.642
wvfFind_event83747_trackID5_opNum5.root                       Event= 83747, Track=   5, Score=0.467
wvfFind_event23533_trackID7_opNum6.root                       Event= 23533, Track=   7, Score=0.961
wvfFind_event14146_trackID20_opNum5.root                      Event= 14146, Track=  20, Score=0.805
wvfFind_event35589_trackID7_opNum4_merged.root                Event= 35589, Track=   7, Score=0.721
wvfFind_event80616_trackID8_opNum5.root                       Event= 80616, Track=   8, Score=0.849
wvfFind_event35034_trackID1_opNum9_2.root                     Event= 35034, Track=   1, Score=0.784
wvfFind_event40530_trackID1_opNum9_2.root                     Event= 40530, Track=   1, Score=0.857
