============================================================
CONFIG SUMMARY
============================================================
SRC_DIR        : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_merged_applyCut_thre3
DST_DIR        : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam
Cut window [A,B]: [-0.12, -0.03]
SEARCH_WINDOW  : 4
DRY_RUN        : False
LOG_FILES:
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part1.log
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part2.log
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part3.log
============================================================

[INFO] Building Pandora_T0 index from logs...
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part1.log
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part2.log
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part3.log
[INFO] Indexed candidates: 34469

[INFO] Found ROOT files: 25843

[COPY] event=100258, trackID=2, T0=-0.909709 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100258_trackID2_opNum4.root
[SKIP] (in range) event=100267, trackID=21, T0=-0.099394
[COPY] event=100271, trackID=1, T0=-0.619517 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100271_trackID1_opNum8.root
[COPY] event=100275, trackID=12, T0=-1.91552 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100275_trackID12_opNum5_merged.root
[COPY] event=100277, trackID=18, T0=-1.10829 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100277_trackID18_opNum9.root
[COPY] event=100279, trackID=2, T0=-0.967229 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100279_trackID2_opNum5.root
[COPY] event=100287, trackID=9, T0=-1.95286 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100287_trackID9_opNum4_merged.root
[COPY] event=100293, trackID=10, T0=-1.68255 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100293_trackID10_opNum5.root
[SKIP] (in range) event=10030, trackID=4, T0=-0.0696002
[COPY] event=100316, trackID=6, T0=-0.0293338 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100316_trackID6_opNum3.root
[COPY] event=100316, trackID=6, T0=-0.0293338 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100316_trackID6_opNum3_2.root
[COPY] event=100333, trackID=24, T0=-2.17307 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100333_trackID24_opNum9.root
[SKIP] (in range) event=100354, trackID=23, T0=-0.0743973
[COPY] event=10036, trackID=3, T0=-0.268095 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event10036_trackID3_opNum5.root
[COPY] event=100387, trackID=16, T0=-2.21708 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100387_trackID16_opNum6.root
[COPY] event=100389, trackID=21, T0=-0.529607 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100389_trackID21_opNum9_merged.root
[COPY] event=100439, trackID=11, T0=0.278457 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100439_trackID11_opNum9.root
[COPY] event=100439, trackID=11, T0=0.278457 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100439_trackID11_opNum9_2.root
[COPY] event=100445, trackID=14, T0=-1.80345 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100445_trackID14_opNum3.root
[COPY] event=100445, trackID=14, T0=-1.80345 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100445_trackID14_opNum3_2.root
[COPY] event=100446, trackID=2, T0=-0.927722 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100446_trackID2_opNum4_merged.root
[COPY] event=10045, trackID=2, T0=-1.39669 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event10045_trackID2_opNum6.root
[COPY] event=100465, trackID=0, T0=-0.302053 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100465_trackID0_opNum5.root
[COPY] event=100474, trackID=11, T0=-1.57518 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100474_trackID11_opNum9.root
[COPY] event=100474, trackID=27, T0=-2.27821 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100474_trackID27_opNum9.root
[COPY] event=100480, trackID=2, T0=-0.792949 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100480_trackID2_opNum4.root
[COPY] event=100486, trackID=6, T0=-1.48254 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100486_trackID6_opNum5.root
[COPY] event=10048, trackID=12, T0=-0.317118 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event10048_trackID12_opNum6.root
[COPY] event=100506, trackID=12, T0=0.108413 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100506_trackID12_opNum3_merged.root
[COPY] event=100510, trackID=13, T0=-1.36907 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100510_trackID13_opNum9.root
