OpCh	Count
0	107
1	387
2	648
4	1548
5	1610
6	1563
7	1937
8	1491
9	903
10	190
11	699
12	1125
13	1770
14	2632
15	2798
16	2728
17	3311
18	2571
19	1543
20	283
21	1011
22	1661
23	2540
24	3830
25	4015
26	3888
27	4765
28	3669
29	2234
30	241
31	848
32	1390
33	2194
34	3337
35	3470
36	3338
37	4042
38	3105
39	1913
40	157
41	552
42	1470
43	1958
44	2861
45	3206
46	3045
47	4008
48	2898
49	1822
50	135
51	458
52	1302
53	1822
54	2718
55	3113
56	3073
57	4031
58	2918
59	1755
60	92
61	328
62	867
63	1205
64	1791
65	1912
66	2267
67	2740
68	1987
69	1173
70	51
71	187
72	467
73	647
74	971
75	1193
76	1206
77	1537
78	1136
79	653
80	98
81	431
82	738
83	1250
84	1349
85	1574
88	1545
89	860
90	171
91	779
92	1243
93	2096
94	2303
95	2654
96	2824
98	2624
99	1432
100	257
101	1074
102	1761
103	2622
104	3637
105	4046
106	3955
108	3656
109	2028
110	182
111	706
112	1150
113	1638
114	2275
115	2507
118	2312
119	1266
