OpCh	Count
0	138
1	430
2	789
4	1732
5	1690
6	1638
7	2016
8	1611
9	981
10	251
11	756
12	1301
13	1986
14	2924
15	2887
16	2783
17	3371
18	2686
19	1617
20	320
21	1018
22	1817
23	2832
24	4150
25	4130
26	3954
27	4940
28	3851
29	2384
30	278
31	811
32	1495
33	2361
34	3500
35	3645
36	3470
37	4323
38	3364
39	2073
40	175
41	565
42	1493
43	2102
44	2940
45	3340
46	3201
47	4427
48	3206
49	2022
50	149
51	523
52	1370
53	1965
54	2845
55	3290
56	3197
57	4363
58	3154
59	1939
60	88
61	346
62	925
63	1296
64	1899
65	2004
66	2331
67	2905
68	2134
69	1308
70	52
71	202
72	551
73	734
74	1097
75	1254
76	1247
77	1612
78	1180
79	713
80	121
81	504
82	827
83	1388
84	1539
85	1768
88	1714
89	929
90	219
91	822
92	1382
93	2312
94	2595
95	2988
96	3156
98	2864
99	1597
100	335
101	1192
102	1954
103	2863
104	4075
105	4589
106	4400
108	4034
109	2196
110	211
111	780
112	1262
113	1847
114	2484
115	2881
118	2484
119	1365
