OpCh	Count
0	104
1	374
2	627
4	1491
5	1559
6	1505
7	1868
8	1432
9	866
10	184
11	678
12	1087
13	1712
14	2544
15	2712
16	2630
17	3188
18	2472
19	1482
20	274
21	980
22	1600
23	2461
24	3696
25	3889
26	3759
27	4595
28	3535
29	2155
30	231
31	825
32	1337
33	2123
34	3228
35	3359
36	3234
37	3907
38	2999
39	1847
40	149
41	537
42	1419
43	1898
44	2772
45	3105
46	2949
47	3880
48	2804
49	1763
50	130
51	443
52	1257
53	1765
54	2635
55	3022
56	2978
57	3904
58	2821
59	1700
60	88
61	314
62	836
63	1169
64	1732
65	1853
66	2188
67	2652
68	1928
69	1140
70	49
71	181
72	454
73	630
74	936
75	1149
76	1159
77	1490
78	1102
79	636
80	97
81	427
82	725
83	1221
84	1305
85	1516
88	1485
89	826
90	170
91	766
92	1211
93	2028
94	2224
95	2562
96	2717
98	2519
99	1374
100	253
101	1058
102	1721
103	2542
104	3515
105	3908
106	3809
108	3514
109	1943
110	179
111	692
112	1118
113	1586
114	2199
115	2428
118	2213
119	1205
