OpCh	Count
0	136
1	362
2	685
4	1513
5	1466
6	1444
7	1769
8	1378
9	829
10	240
11	613
12	1130
13	1715
14	2623
15	2568
16	2488
17	3035
18	2408
19	1430
20	301
21	862
22	1583
23	2432
24	3688
25	3679
26	3612
27	4414
28	3451
29	2061
30	211
31	662
32	1255
33	2057
34	3121
35	3204
36	3128
37	3818
38	2973
39	1794
40	116
41	463
42	1266
43	1805
44	2529
45	2900
46	2839
47	3770
48	2740
49	1686
50	112
51	414
52	1169
53	1667
54	2447
55	2877
56	2774
57	3749
58	2679
59	1666
60	79
61	319
62	783
63	1085
64	1589
65	1724
66	1985
67	2508
68	1801
69	1149
70	37
71	168
72	436
73	608
74	919
75	1093
76	1050
77	1407
78	1004
79	625
80	96
81	425
82	726
83	1178
84	1344
85	1491
88	1552
89	814
90	162
91	698
92	1209
93	2026
94	2287
95	2568
96	2840
98	2584
99	1383
100	262
101	1008
102	1737
103	2571
104	3625
105	4020
106	3945
108	3592
109	1960
110	186
111	654
112	1102
113	1607
114	2286
115	2513
118	2186
119	1219
