============================================================
CONFIG SUMMARY
============================================================
SRC_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28777_new202602/wvf_merged_applyCut_thre3
DST_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28777_new202602/wvf_applyCut_removeBeam
Cut window [A,B]: [-0.12, -0.03]
SEARCH_WINDOW   : 4
DRY_RUN         : False
LOG_FILES:
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28777/print.log
============================================================

[INFO] Building Pandora_T0 index from logs...
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28777/print.log
[INFO] Indexed candidates: 5665

[INFO] Found ROOT files: 5010

[COPY] event=10006, trackID=2, T0=-0.685076 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28777_new202602/wvf_applyCut_removeBeam/wvfFind_event10006_trackID2_opNum4.root
[COPY] event=10041, trackID=22, T0=-1.43259 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28777_new202602/wvf_applyCut_removeBeam/wvfFind_event10041_trackID22_opNum6.root
[COPY] event=10044, trackID=12, T0=0.297244 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28777_new202602/wvf_applyCut_removeBeam/wvfFind_event10044_trackID12_opNum3.root
[COPY] event=10044, trackID=12, T0=0.297244 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28777_new202602/wvf_applyCut_removeBeam/wvfFind_event10044_trackID12_opNum3_2.root
[COPY] event=10064, trackID=4, T0=-1.24946 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28777_new202602/wvf_applyCut_removeBeam/wvfFind_event10064_trackID4_opNum4.root
[COPY] event=1008, trackID=3, T0=-1.22484 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28777_new202602/wvf_applyCut_removeBeam/wvfFind_event1008_trackID3_opNum5.root
[COPY] event=1008, trackID=3, T0=-1.22484 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28777_new202602/wvf_applyCut_removeBeam/wvfFind_event1008_trackID3_opNum5_2.root
[COPY] event=10112, trackID=11, T0=-2.31715 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28777_new202602/wvf_applyCut_removeBeam/wvfFind_event10112_trackID11_opNum3.root
[COPY] event=10112, trackID=11, T0=-2.31715 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28777_new202602/wvf_applyCut_removeBeam/wvfFind_event10112_trackID11_opNum3_2.root
[COPY] event=10121, trackID=0, T0=-0.127119 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28777_new202602/wvf_applyCut_removeBeam/wvfFind_event10121_trackID0_opNum5.root
[COPY] event=10130, trackID=1, T0=-0.645208 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28777_new202602/wvf_applyCut_removeBeam/wvfFind_event10130_trackID1_opNum4.root
[COPY] event=10135, trackID=0, T0=-0.0205709 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28777_new202602/wvf_applyCut_removeBeam/wvfFind_event10135_trackID0_opNum9.root
[COPY] event=10171, trackID=15, T0=-1.86954 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28777_new202602/wvf_applyCut_removeBeam/wvfFind_event10171_trackID15_opNum3.root
