============================================================
CONFIG SUMMARY
============================================================
SRC_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_merged_applyCut_thre3
DST_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam
Cut window [A,B]: [-0.05, 0.05]
SEARCH_WINDOW   : 4
DRY_RUN         : False
LOG_FILES:
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/MCminus5GeV/print_part1.log
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/MCminus5GeV/print_part2.log
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/MCminus5GeV/print_part3.log
============================================================

[INFO] Building Pandora_T0 index from logs...
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/MCminus5GeV/print_part1.log
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/MCminus5GeV/print_part2.log
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/MCminus5GeV/print_part3.log
[INFO] Indexed candidates: 36803

[INFO] Found ROOT files: 27697

[COPY] fileID=257707_119_1_20251204T225829Z, event=234, trackID=10, T0=-1.47452 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_119_1_20251204T225829Z_event234_trackID10_opNum9_merged.root
[COPY] fileID=257707_119_1_20251204T225829Z, event=236, trackID=4, T0=0.129037 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_119_1_20251204T225829Z_event236_trackID4_opNum9_merged.root
[COPY] fileID=257707_119_1_20251204T225829Z, event=238, trackID=6, T0=-1.06311 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_119_1_20251204T225829Z_event238_trackID6_opNum5_merged.root
[COPY] fileID=257707_11_1_20251204T225125Z, event=442, trackID=19, T0=0.184304 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_11_1_20251204T225125Z_event442_trackID19_opNum8_merged.root
[COPY] fileID=257707_120_1_20251204T225122Z, event=390, trackID=27, T0=-0.396627 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_120_1_20251204T225122Z_event390_trackID27_opNum5_merged.root
[COPY] fileID=257707_121_1_20251204T225852Z, event=446, trackID=15, T0=-1.14935 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_121_1_20251204T225852Z_event446_trackID15_opNum9_merged.root
[COPY] fileID=257707_122_1_20251204T225838Z, event=440, trackID=20, T0=-2.13175 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_122_1_20251204T225838Z_event440_trackID20_opNum9_merged.root
[COPY] fileID=257707_122_1_20251204T225838Z, event=442, trackID=12, T0=-0.957185 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_122_1_20251204T225838Z_event442_trackID12_opNum8_merged.root
[COPY] fileID=257707_122_1_20251204T225838Z, event=444, trackID=7, T0=0.487378 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_122_1_20251204T225838Z_event444_trackID7_opNum9_merged.root
[COPY] fileID=257707_123_1_20251204T225909Z, event=438, trackID=4, T0=-0.270188 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_123_1_20251204T225909Z_event438_trackID4_opNum5_merged.root
[COPY] fileID=257707_124_1_20251204T225905Z, event=107, trackID=8, T0=-0.403118 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_124_1_20251204T225905Z_event107_trackID8_opNum9_merged.root
[COPY] fileID=257707_125_1_20251204T225903Z, event=476, trackID=9, T0=0.273606 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_125_1_20251204T225903Z_event476_trackID9_opNum9_merged.root
[COPY] fileID=257707_126_1_20251204T225853Z, event=334, trackID=10, T0=-1.08541 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_126_1_20251204T225853Z_event334_trackID10_opNum6_merged.root
[COPY] fileID=257707_126_1_20251204T225853Z, event=334, trackID=8, T0=-1.37976 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_126_1_20251204T225853Z_event334_trackID8_opNum9_merged.root
[COPY] fileID=257707_126_1_20251204T225853Z, event=339, trackID=25, T0=0.532371 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_126_1_20251204T225853Z_event339_trackID25_opNum6_merged.root
[COPY] fileID=257707_127_1_20251204T225858Z, event=815, trackID=12, T0=-0.12779 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_127_1_20251204T225858Z_event815_trackID12_opNum4_merged.root
[COPY] fileID=257707_128_1_20251204T225850Z, event=1260, trackID=28, T0=-2.02167 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_128_1_20251204T225850Z_event1260_trackID28_opNum4_merged.root
[COPY] fileID=257707_128_1_20251204T225850Z, event=1267, trackID=18, T0=-1.32471 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_128_1_20251204T225850Z_event1267_trackID18_opNum8_merged.root
[COPY] fileID=257707_128_1_20251204T225850Z, event=1269, trackID=6, T0=-0.528796 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_128_1_20251204T225850Z_event1269_trackID6_opNum9_merged.root
[COPY] fileID=257707_129_1_20251204T225836Z, event=558, trackID=7, T0=0.262094 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_129_1_20251204T225836Z_event558_trackID7_opNum5_merged.root
[COPY] fileID=257707_130_1_20251204T225915Z, event=1207, trackID=9, T0=0.443449 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_130_1_20251204T225915Z_event1207_trackID9_opNum9_merged.root
[COPY] fileID=257707_130_1_20251204T225915Z, event=1209, trackID=11, T0=-0.697828 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_130_1_20251204T225915Z_event1209_trackID11_opNum9_merged.root
[COPY] fileID=257707_131_1_20251204T225833Z, event=1027, trackID=12, T0=-1.16337 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_131_1_20251204T225833Z_event1027_trackID12_opNum9_merged.root
[COPY] fileID=257707_131_1_20251204T225833Z, event=1029, trackID=0, T0=0.171508 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_131_1_20251204T225833Z_event1029_trackID0_opNum9_merged.root
[COPY] fileID=257707_132_1_20251204T225826Z, event=996, trackID=9, T0=-0.214865 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_132_1_20251204T225826Z_event996_trackID9_opNum5_merged.root
[COPY] fileID=257707_133_1_20251204T225841Z, event=184, trackID=7, T0=-0.235043 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_133_1_20251204T225841Z_event184_trackID7_opNum9_merged.root
[COPY] fileID=257707_133_1_20251204T225841Z, event=187, trackID=7, T0=-0.58656 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_133_1_20251204T225841Z_event187_trackID7_opNum5_merged.root
[COPY] fileID=257707_134_1_20251204T225828Z, event=382, trackID=15, T0=-1.93788 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus5GeV/wvf_applyCut_removeBeam/wvfFind_file257707_134_1_20251204T225828Z_event382_trackID15_opNum5_merged.root
