============================================================
CONFIG SUMMARY
============================================================
SRC_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus1GeV/wvf_merged
DST_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus1GeV/wvf_removeBeam_afterMerge
Cut window [A,B]: [-0.05, 0.05]
SEARCH_WINDOW   : 4
DRY_RUN         : False
LOG_FILES:
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/MCminus1GeV/print_part1.log
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/MCminus1GeV/print_part2.log
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/MCminus1GeV/print_part3.log
============================================================

[INFO] Building Pandora_T0 index from logs...
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/MCminus1GeV/print_part1.log
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/MCminus1GeV/print_part2.log
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/MCminus1GeV/print_part3.log
[INFO] Indexed candidates: 40336

[INFO] Found ROOT files: 34389

[COPY] fileID=257709_108_1_20251204T235211Z, event=19, trackID=3, T0=-1.90541 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus1GeV/wvf_removeBeam_afterMerge/wvfFind_file257709_108_1_20251204T235211Z_event19_trackID3_opNum9_merged.root
[COPY] fileID=257709_109_1_20251205T000142Z, event=1, trackID=12, T0=-0.767073 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus1GeV/wvf_removeBeam_afterMerge/wvfFind_file257709_109_1_20251205T000142Z_event1_trackID12_opNum7_merged.root
[COPY] fileID=257709_10_1_20251204T234036Z, event=79, trackID=1, T0=-1.57576 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus1GeV/wvf_removeBeam_afterMerge/wvfFind_file257709_10_1_20251204T234036Z_event79_trackID1_opNum7_merged.root
[COPY] fileID=257709_111_1_20251205T000229Z, event=188, trackID=11, T0=-2.20448 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus1GeV/wvf_removeBeam_afterMerge/wvfFind_file257709_111_1_20251205T000229Z_event188_trackID11_opNum9_merged.root
[COPY] fileID=257709_113_1_20251205T000200Z, event=83, trackID=20, T0=0.31064 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus1GeV/wvf_removeBeam_afterMerge/wvfFind_file257709_113_1_20251205T000200Z_event83_trackID20_opNum2_merged.root
[COPY] fileID=257709_113_1_20251205T000200Z, event=85, trackID=8, T0=-1.73739 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus1GeV/wvf_removeBeam_afterMerge/wvfFind_file257709_113_1_20251205T000200Z_event85_trackID8_opNum1_merged.root
[COPY] fileID=257709_113_1_20251205T000200Z, event=86, trackID=2, T0=0.32403 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus1GeV/wvf_removeBeam_afterMerge/wvfFind_file257709_113_1_20251205T000200Z_event86_trackID2_opNum7_merged.root
[COPY] fileID=257709_114_1_20251205T000148Z, event=135, trackID=11, T0=-0.170018 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus1GeV/wvf_removeBeam_afterMerge/wvfFind_file257709_114_1_20251205T000148Z_event135_trackID11_opNum3_merged.root
[COPY] fileID=257709_114_1_20251205T000148Z, event=137, trackID=4, T0=-0.50934 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus1GeV/wvf_removeBeam_afterMerge/wvfFind_file257709_114_1_20251205T000148Z_event137_trackID4_opNum9_merged.root
[COPY] fileID=257709_115_1_20251205T000125Z, event=128, trackID=8, T0=-0.501981 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/Offical2025_mcProduction/minus1GeV/wvf_removeBeam_afterMerge/wvfFind_file257709_115_1_20251205T000125Z_event128_trackID8_opNum1_merged.root
