OpCh	Count
0	15
1	57
2	96
4	187
5	193
6	184
7	228
8	166
9	102
10	25
11	102
12	176
13	261
14	331
15	344
16	335
17	426
18	305
19	186
20	47
21	146
22	250
23	387
24	477
25	511
26	484
27	611
28	447
29	278
30	35
31	122
32	221
33	331
34	431
35	451
36	424
37	554
38	406
39	262
40	23
41	85
42	211
43	306
44	379
45	420
46	401
47	544
48	401
49	251
50	25
51	82
52	195
53	292
54	370
55	407
56	410
57	562
58	422
59	262
60	19
61	56
62	138
63	192
64	246
65	256
66	290
67	385
68	290
69	181
70	12
71	35
72	82
73	101
74	137
75	144
76	155
77	213
78	167
79	104
80	6
81	27
82	46
83	95
84	115
85	158
88	171
89	95
90	12
91	53
92	94
93	168
94	232
95	272
96	288
98	289
99	162
100	17
101	66
102	139
103	215
104	348
105	399
106	391
108	386
109	220
110	12
111	39
112	89
113	127
114	213
115	232
118	219
119	116
