OpCh	Count
0	14
1	54
2	98
4	190
5	179
6	172
7	235
8	190
9	112
10	25
11	97
12	181
13	257
14	317
15	328
16	322
17	433
18	331
19	200
20	47
21	147
22	253
23	357
24	472
25	486
26	479
27	584
28	456
29	280
30	42
31	128
32	225
33	318
34	410
35	450
36	450
37	551
38	403
39	241
40	36
41	94
42	215
43	287
44	377
45	417
46	427
47	534
48	378
49	235
50	28
51	110
52	228
53	314
54	387
55	445
56	429
57	590
58	423
59	256
60	22
61	77
62	145
63	210
64	253
65	280
66	301
67	397
68	280
69	176
70	13
71	45
72	97
73	131
74	155
75	183
76	167
77	229
78	164
79	97
80	9
81	36
82	54
83	108
84	120
85	152
88	187
89	91
90	16
91	79
92	106
93	193
94	225
95	261
96	299
98	323
99	166
100	25
101	95
102	152
103	213
104	337
105	415
106	450
108	439
109	232
110	21
111	70
112	95
113	127
114	204
115	259
118	265
119	151
