OpCh	Count
0	12
1	50
2	91
4	204
5	209
6	183
7	233
8	183
9	117
10	24
11	91
12	158
13	241
14	324
15	338
16	311
17	392
18	305
19	198
20	39
21	132
22	236
23	356
24	464
25	477
26	450
27	572
28	448
29	279
30	38
31	116
32	204
33	303
34	386
35	405
36	395
37	519
38	408
39	260
40	30
41	102
42	212
43	301
44	386
45	417
46	399
47	512
48	383
49	232
50	25
51	87
52	183
53	278
54	389
55	443
56	438
57	542
58	396
59	241
60	14
61	60
62	123
63	185
64	275
65	286
66	319
67	359
68	264
69	149
70	7
71	29
72	64
73	97
74	148
75	169
76	167
77	214
78	161
79	94
80	10
81	40
82	61
83	112
84	132
85	164
88	145
89	71
90	15
91	59
92	97
93	195
94	227
95	277
96	290
98	257
99	136
100	19
101	98
102	157
103	251
104	365
105	437
106	407
108	343
109	183
110	13
111	66
112	104
113	162
114	217
115	246
118	212
119	112
