OpCh	Count
0	71
1	212
2	387
4	788
5	807
6	769
7	952
8	749
9	466
10	137
11	387
12	677
13	1021
14	1366
15	1431
16	1437
17	1727
18	1318
19	781
20	199
21	569
22	1033
23	1491
24	1991
25	2052
26	2046
27	2483
28	1895
29	1134
30	167
31	504
32	913
33	1317
34	1746
35	1833
36	1904
37	2248
38	1692
39	978
40	112
41	417
42	958
43	1267
44	1638
45	1716
46	1727
47	2209
48	1620
49	972
50	101
51	403
52	945
53	1264
54	1620
55	1772
56	1829
57	2316
58	1693
59	980
60	63
61	258
62	617
63	843
64	1092
65	1117
66	1271
67	1567
68	1152
69	683
70	35
71	143
72	343
73	443
74	609
75	672
76	690
77	907
78	655
79	377
80	43
81	153
82	265
83	471
84	568
85	647
88	596
89	325
90	73
91	288
92	478
93	837
94	949
95	1126
96	1207
98	1086
99	559
100	88
101	415
102	688
103	1036
104	1514
105	1782
106	1718
108	1523
109	819
110	56
111	280
112	431
113	703
114	910
115	1096
118	997
119	523
