OpCh	Count
0	14
1	40
2	74
4	145
5	129
6	137
7	173
8	134
9	70
10	20
11	64
12	120
13	182
14	235
15	243
16	238
17	290
18	224
19	132
20	31
21	99
22	174
23	255
24	323
25	345
26	337
27	420
28	307
29	193
30	18
31	90
32	145
33	220
34	266
35	319
36	304
37	377
38	265
39	171
40	17
41	73
42	157
43	217
44	245
45	292
46	290
47	384
48	265
49	149
50	14
51	64
52	141
53	203
54	244
55	297
56	301
57	390
58	276
59	168
60	11
61	42
62	93
63	130
64	165
65	181
66	205
67	257
68	187
69	110
70	7
71	23
72	43
73	63
74	97
75	106
76	108
77	145
78	110
79	71
80	3
81	25
82	44
83	75
84	82
85	102
88	125
89	72
90	8
91	37
92	73
93	129
94	152
95	179
96	198
98	209
99	112
100	9
101	50
102	92
103	177
104	250
105	276
106	269
108	266
109	139
110	8
111	26
112	64
113	122
114	159
115	176
118	147
119	75
