OpCh	Count
0	13
1	43
2	88
4	192
5	192
6	205
7	238
8	182
9	94
10	27
11	87
12	167
13	241
14	307
15	322
16	339
17	412
18	305
19	165
20	41
21	137
22	247
23	365
24	469
25	484
26	495
27	604
28	461
29	266
30	36
31	109
32	201
33	322
34	417
35	451
36	432
37	533
38	403
39	241
40	21
41	84
42	196
43	295
44	395
45	436
46	420
47	531
48	375
49	237
50	28
51	95
52	205
53	294
54	381
55	434
56	418
57	533
58	383
59	232
60	22
61	78
62	164
63	209
64	253
65	260
66	281
67	360
68	262
69	157
70	10
71	43
72	91
73	111
74	146
75	161
76	152
77	208
78	152
79	96
80	5
81	32
82	54
83	100
84	123
85	155
88	171
89	98
90	13
91	55
92	105
93	188
94	216
95	254
96	295
98	283
99	148
100	18
101	88
102	146
103	236
104	367
105	412
106	409
108	394
109	220
110	14
111	53
112	110
113	166
114	228
115	253
118	242
119	130
