OpCh	Count
0	18
1	54
2	98
4	172
5	163
6	135
7	190
8	146
9	97
10	31
11	85
12	157
13	240
14	305
15	299
16	259
17	348
18	281
19	170
20	42
21	121
22	207
23	335
24	422
25	423
26	375
27	515
28	416
29	281
30	36
31	99
32	184
33	282
34	347
35	356
36	330
37	465
38	376
39	249
40	20
41	78
42	184
43	267
44	328
45	359
46	346
47	491
48	363
49	232
50	25
51	80
52	196
53	290
54	364
55	394
56	383
57	494
58	348
59	213
60	15
61	56
62	134
63	204
64	268
65	274
66	292
67	350
68	254
69	146
70	9
71	31
72	80
73	111
74	149
75	154
76	143
77	187
78	136
79	80
80	4
81	20
82	43
83	92
84	126
85	155
88	144
89	61
90	10
91	53
92	73
93	177
94	204
95	250
96	269
98	240
99	119
100	23
101	76
102	130
103	223
104	343
105	392
106	391
108	355
109	171
110	20
111	64
112	95
113	144
114	193
115	241
118	218
119	119
