OpCh	Count
0	12
1	41
2	65
4	111
5	121
6	139
7	174
8	139
9	79
10	20
11	62
12	100
13	161
14	223
15	236
16	238
17	302
18	249
19	150
20	26
21	82
22	146
23	216
24	302
25	326
26	336
27	429
28	340
29	203
30	26
31	67
32	135
33	204
34	294
35	307
36	311
37	372
38	291
39	166
40	23
41	71
42	156
43	196
44	258
45	271
46	289
47	357
48	262
49	144
50	22
51	79
52	178
53	214
54	269
55	280
56	284
57	371
58	278
59	154
60	18
61	54
62	121
63	148
64	172
65	166
66	191
67	238
68	185
69	110
70	5
71	22
72	69
73	73
74	99
75	98
76	95
77	140
78	104
79	71
80	1
81	29
82	53
83	101
84	97
85	104
88	90
89	45
90	7
91	44
92	77
93	150
94	149
95	166
96	191
98	192
99	94
100	8
101	71
102	101
103	163
104	233
105	268
106	279
108	252
109	125
110	7
111	37
112	57
113	85
114	127
115	163
118	164
119	79
