OpCh	Count
0	54
1	128
2	222
4	407
5	408
6	416
7	496
8	376
9	236
10	93
11	220
12	375
13	509
14	713
15	752
16	756
17	877
18	660
19	412
20	114
21	303
22	521
23	739
24	1009
25	1081
26	1093
27	1294
28	976
29	590
30	90
31	246
32	446
33	662
34	869
35	948
36	964
37	1138
38	851
39	505
40	49
41	211
42	448
43	610
44	811
45	898
46	900
47	1151
48	834
49	509
50	52
51	212
52	473
53	620
54	847
55	934
56	931
57	1147
58	825
59	505
60	41
61	150
62	334
63	419
64	585
65	606
66	665
67	789
68	563
69	357
70	24
71	80
72	194
73	253
74	342
75	364
76	361
77	432
78	309
79	180
80	21
81	64
82	118
83	226
84	246
85	323
88	341
89	186
90	36
91	138
92	220
93	370
94	468
95	536
96	608
98	580
99	307
100	51
101	198
102	327
103	473
104	751
105	862
106	834
108	797
109	451
110	27
111	132
112	217
113	292
114	476
115	521
118	516
119	280
