OpCh	Count
0	16
1	51
2	92
4	184
5	200
6	191
7	245
8	188
9	128
10	34
11	104
12	166
13	230
14	306
15	335
16	332
17	430
18	320
19	215
20	41
21	128
22	221
23	330
24	442
25	501
26	488
27	619
28	461
29	285
30	34
31	114
32	182
33	303
34	399
35	455
36	460
37	545
38	407
39	254
40	23
41	93
42	182
43	273
44	359
45	437
46	423
47	549
48	399
49	275
50	21
51	94
52	212
53	296
54	389
55	456
56	444
57	589
58	417
59	277
60	13
61	63
62	147
63	192
64	259
65	279
66	306
67	392
68	284
69	182
70	9
71	35
72	82
73	114
74	163
75	175
76	173
77	216
78	157
79	92
80	11
81	37
82	59
83	98
84	128
85	158
88	154
89	91
90	17
91	53
92	101
93	167
94	223
95	260
96	263
98	256
99	145
100	25
101	92
102	165
103	241
104	353
105	390
106	356
108	354
109	211
110	16
111	63
112	107
113	154
114	214
115	253
118	220
119	124
