OpCh	Count
0	23
1	74
2	145
4	283
5	306
6	295
7	370
8	281
9	177
10	44
11	135
12	224
13	361
14	465
15	528
16	504
17	654
18	474
19	311
20	67
21	196
22	325
23	515
24	679
25	762
26	764
27	944
28	694
29	445
30	48
31	159
32	267
33	419
34	582
35	664
36	688
37	841
38	636
39	387
40	34
41	127
42	310
43	418
44	550
45	620
46	636
47	860
48	626
49	390
50	44
51	135
52	315
53	433
54	558
55	632
56	633
57	868
58	636
59	400
60	29
61	102
62	215
63	292
64	379
65	400
66	429
67	576
68	421
69	273
70	19
71	57
72	121
73	154
74	205
75	242
76	231
77	319
78	229
79	142
80	13
81	63
82	87
83	177
84	198
85	242
88	226
89	119
90	18
91	106
92	161
93	294
94	326
95	397
96	434
98	381
99	202
100	25
101	161
102	252
103	375
104	552
105	608
106	622
108	559
109	295
110	19
111	103
112	163
113	219
114	339
115	358
118	351
119	179
