OpCh	Count
0	14
1	33
2	92
4	192
5	181
6	150
7	186
8	147
9	92
10	25
11	75
12	157
13	220
14	304
15	293
16	266
17	355
18	280
19	183
20	31
21	117
22	227
23	357
24	464
25	458
26	412
27	538
28	425
29	278
30	26
31	103
32	189
33	295
34	380
35	412
36	403
37	514
38	388
39	242
40	19
41	81
42	187
43	282
44	389
45	430
46	421
47	517
48	375
49	234
50	17
51	84
52	194
53	262
54	370
55	423
56	401
57	510
58	356
59	235
60	10
61	58
62	135
63	187
64	259
65	275
66	286
67	347
68	249
69	170
70	7
71	35
72	89
73	105
74	139
75	152
76	136
77	185
78	128
79	93
80	4
81	30
82	50
83	87
84	103
85	121
88	141
89	67
90	11
91	46
92	97
93	164
94	196
95	233
96	258
98	248
99	122
100	22
101	67
102	139
103	201
104	321
105	364
106	366
108	357
109	186
110	15
111	54
112	94
113	135
114	208
115	236
118	220
119	130
