OpCh	Count
0	20
1	49
2	98
4	212
5	206
6	184
7	211
8	163
9	92
10	33
11	95
12	166
13	262
14	327
15	343
16	307
17	376
18	282
19	159
20	46
21	122
22	217
23	348
24	456
25	459
26	429
27	544
28	419
29	244
30	41
31	122
32	199
33	301
34	362
35	399
36	386
37	518
38	388
39	236
40	32
41	91
42	196
43	286
44	353
45	397
46	388
47	535
48	388
49	242
50	34
51	103
52	211
53	291
54	355
55	408
56	394
57	534
58	384
59	239
60	18
61	61
62	144
63	191
64	249
65	260
66	272
67	350
68	249
69	158
70	9
71	39
72	82
73	101
74	131
75	149
76	141
77	188
78	130
79	82
80	3
81	30
82	59
83	107
84	125
85	140
88	159
89	76
90	13
91	62
92	109
93	189
94	226
95	266
96	299
98	258
99	139
100	24
101	94
102	165
103	253
104	366
105	436
106	424
108	371
109	209
110	19
111	66
112	108
113	158
114	225
115	287
118	231
119	134
