OpCh	Count
0	19
1	51
2	76
4	120
5	141
6	137
7	169
8	126
9	71
10	27
11	77
12	111
13	170
14	204
15	240
16	241
17	300
18	226
19	130
20	37
21	117
22	174
23	243
24	307
25	357
26	362
27	429
28	306
29	179
30	32
31	99
32	149
33	214
34	271
35	316
36	324
37	374
38	268
39	154
40	22
41	80
42	153
43	193
44	262
45	310
46	321
47	374
48	265
49	153
50	15
51	76
52	149
53	197
54	260
55	313
56	334
57	411
58	296
59	171
60	9
61	46
62	97
63	127
64	183
65	203
66	240
67	277
68	204
69	120
70	3
71	27
72	52
73	71
74	102
75	117
76	131
77	152
78	112
79	68
80	4
81	20
82	46
83	87
84	98
85	112
88	99
89	50
90	10
91	43
92	77
93	141
94	157
95	197
96	218
98	183
99	89
100	17
101	56
102	113
103	172
104	254
105	305
106	303
108	259
109	132
110	12
111	41
112	74
113	108
114	153
115	191
118	163
119	87
