OpCh	Count
0	43
1	116
2	192
4	331
5	348
6	349
7	421
8	319
9	189
10	61
11	168
12	291
13	418
14	565
15	598
16	602
17	734
18	573
19	347
20	85
21	243
22	433
23	626
24	842
25	892
26	885
27	1101
28	845
29	523
30	63
31	194
32	358
33	520
34	735
35	795
36	829
37	1036
38	805
39	502
40	53
41	165
42	399
43	519
44	732
45	796
46	802
47	1040
48	764
49	493
50	53
51	180
52	407
53	535
54	750
55	821
56	832
57	1045
58	751
59	460
60	32
61	119
62	288
63	376
64	512
65	531
66	586
67	671
68	471
69	304
70	20
71	63
72	152
73	213
74	276
75	316
76	296
77	370
78	255
79	150
80	13
81	56
82	105
83	184
84	200
85	269
88	301
89	149
90	27
91	98
92	186
93	319
94	372
95	467
96	514
98	495
99	248
100	34
101	148
102	267
103	431
104	630
105	751
106	767
108	710
109	355
110	22
111	90
112	182
113	297
114	409
115	467
118	446
119	207
