OpCh	Count
0	20
1	51
2	79
4	176
5	188
6	197
7	233
8	180
9	112
10	32
11	93
12	151
13	197
14	291
15	317
16	369
17	431
18	337
19	183
20	48
21	127
22	232
23	305
24	431
25	454
26	503
27	610
28	470
29	277
30	37
31	109
32	204
33	288
34	381
35	420
36	470
37	561
38	412
39	236
40	31
41	90
42	212
43	275
44	389
45	418
46	429
47	529
48	373
49	233
50	22
51	96
52	212
53	307
54	401
55	454
56	434
57	551
58	397
59	254
60	20
61	73
62	154
63	218
64	273
65	290
66	290
67	375
68	260
69	176
70	7
71	38
72	88
73	123
74	148
75	179
76	146
77	221
78	160
79	107
80	4
81	38
82	65
83	109
84	124
85	149
88	135
89	76
90	15
91	66
92	116
93	208
94	230
95	263
96	258
98	229
99	133
100	19
101	90
102	166
103	263
104	381
105	409
106	368
108	351
109	196
110	12
111	53
112	109
113	174
114	260
115	254
118	238
119	130
