OpCh	Count
0	31
1	80
2	146
4	258
5	260
6	257
7	321
8	244
9	144
10	41
11	128
12	230
13	315
14	436
15	457
16	457
17	567
18	443
19	276
20	74
21	197
22	335
23	467
24	655
25	689
26	691
27	839
28	644
29	395
30	55
31	160
32	292
33	443
34	593
35	638
36	656
37	821
38	617
39	386
40	45
41	140
42	321
43	400
44	535
45	610
46	653
47	844
48	607
49	371
50	32
51	133
52	301
53	422
54	559
55	638
56	674
57	844
58	629
59	367
60	23
61	99
62	205
63	275
64	373
65	399
66	455
67	547
68	402
69	231
70	16
71	51
72	118
73	161
74	237
75	268
76	241
77	287
78	216
79	124
80	13
81	54
82	79
83	132
84	172
85	215
88	226
89	106
90	24
91	99
92	149
93	281
94	309
95	379
96	444
98	409
99	201
100	34
101	135
102	220
103	325
104	502
105	589
106	626
108	567
109	278
110	24
111	74
112	152
113	233
114	332
115	374
118	341
119	178
