OpCh	Count
0	56
1	180
2	291
4	550
5	577
6	566
7	674
8	501
9	306
10	98
11	319
12	526
13	723
14	958
15	995
16	985
17	1198
18	892
19	570
20	118
21	411
22	735
23	1043
24	1393
25	1456
26	1405
27	1728
28	1293
29	813
30	96
31	324
32	615
33	891
34	1188
35	1261
36	1254
37	1574
38	1195
39	747
40	67
41	266
42	610
43	823
44	1087
45	1231
46	1241
47	1589
48	1137
49	702
50	76
51	264
52	611
53	879
54	1146
55	1294
56	1234
57	1613
58	1167
59	741
60	45
61	193
62	429
63	593
64	808
65	847
66	889
67	1071
68	775
69	502
70	23
71	109
72	239
73	354
74	474
75	510
76	447
77	591
78	438
79	297
80	19
81	90
82	166
83	291
84	378
85	424
88	446
89	236
90	42
91	163
92	286
93	518
94	645
95	749
96	808
98	775
99	435
100	70
101	256
102	442
103	675
104	1028
105	1215
106	1159
108	1087
109	593
110	50
111	179
112	296
113	452
114	627
115	776
118	679
119	376
