OpCh	Count
0	15
1	55
2	91
4	160
5	168
6	180
7	232
8	183
9	107
10	43
11	111
12	180
13	225
14	291
15	300
16	297
17	397
18	303
19	188
20	56
21	154
22	261
23	336
24	418
25	435
26	422
27	539
28	426
29	264
30	43
31	130
32	206
33	282
34	364
35	382
36	382
37	486
38	373
39	231
40	24
41	85
42	182
43	256
44	338
45	373
46	384
47	494
48	371
49	227
50	30
51	75
52	185
53	256
54	359
55	408
56	411
57	535
58	393
59	241
60	22
61	46
62	124
63	170
64	267
65	272
66	293
67	353
68	262
69	164
70	13
71	34
72	67
73	91
74	152
75	170
76	165
77	193
78	143
79	90
80	13
81	28
82	55
83	99
84	143
85	172
88	154
89	93
90	21
91	58
92	95
93	163
94	227
95	288
96	292
98	249
99	144
100	26
101	71
102	145
103	205
104	346
105	408
106	408
108	373
109	210
110	13
111	49
112	83
113	113
114	193
115	227
118	225
119	118
