OpCh	Count
0	16
1	55
2	81
4	129
5	143
6	155
7	197
8	153
9	94
10	22
11	87
12	143
13	201
14	259
15	270
16	264
17	322
18	241
19	137
20	36
21	115
22	211
23	282
24	373
25	393
26	399
27	484
28	360
29	228
30	32
31	82
32	178
33	253
34	362
35	369
36	364
37	431
38	323
39	188
40	23
41	80
42	174
43	242
44	313
45	328
46	346
47	442
48	326
49	200
50	23
51	84
52	181
53	249
54	314
55	345
56	347
57	441
58	332
59	189
60	15
61	66
62	118
63	167
64	201
65	209
66	247
67	289
68	220
69	121
70	10
71	34
72	73
73	95
74	120
75	136
76	137
77	172
78	126
79	62
80	9
81	41
82	65
83	109
84	127
85	140
88	135
89	76
90	10
91	48
92	111
93	182
94	209
95	240
96	243
98	221
99	127
100	18
101	78
102	146
103	216
104	318
105	356
106	330
108	305
109	172
110	8
111	44
112	86
113	125
114	182
115	197
118	182
119	97
