OpCh	Count
0	54
1	169
2	263
4	500
5	537
6	541
7	701
8	557
9	352
10	95
11	278
12	493
13	669
14	884
15	948
16	957
17	1206
18	940
19	569
20	127
21	400
22	710
23	966
24	1286
25	1390
26	1405
27	1748
28	1320
29	810
30	95
31	340
32	595
33	924
34	1198
35	1277
36	1274
37	1519
38	1122
39	669
40	72
41	278
42	621
43	852
44	1120
45	1247
46	1219
47	1530
48	1090
49	672
50	74
51	289
52	640
53	881
54	1138
55	1285
56	1269
57	1579
58	1139
59	678
60	61
61	213
62	418
63	559
64	733
65	816
66	907
67	1088
68	778
69	468
70	41
71	125
72	244
73	307
74	416
75	485
76	479
77	598
78	422
79	256
80	27
81	102
82	173
83	288
84	373
85	417
88	432
89	204
90	45
91	174
92	305
93	515
94	625
95	725
96	832
98	806
99	423
100	59
101	263
102	441
103	645
104	1018
105	1121
106	1167
108	1109
109	597
110	34
111	160
112	282
113	426
114	607
115	705
118	704
119	396
