OpCh	Count
0	15
1	66
2	109
4	212
5	222
6	213
7	258
8	178
9	116
10	31
11	108
12	185
13	258
14	348
15	376
16	365
17	432
18	314
19	201
20	48
21	169
22	286
23	380
24	497
25	531
26	511
27	641
28	468
29	295
30	39
31	130
32	244
33	319
34	418
35	446
36	446
37	544
38	393
39	256
40	28
41	111
42	239
43	301
44	372
45	423
46	420
47	534
48	366
49	218
50	38
51	106
52	227
53	306
54	377
55	435
56	431
57	541
58	383
59	231
60	24
61	83
62	157
63	208
64	251
65	271
66	303
67	381
68	275
69	160
70	12
71	46
72	96
73	124
74	152
75	165
76	155
77	219
78	165
79	94
80	4
81	22
82	59
83	105
84	115
85	130
88	145
89	68
90	15
91	59
92	101
93	184
94	201
95	239
96	269
98	258
99	132
100	20
101	78
102	162
103	235
104	333
105	378
106	389
108	360
109	187
110	19
111	59
112	109
113	143
114	212
115	238
118	242
119	133
