OpCh	Count
0	68
1	226
2	374
4	789
5	767
6	722
7	928
8	729
9	435
10	134
11	366
12	691
13	986
14	1336
15	1343
16	1349
17	1640
18	1274
19	736
20	179
21	530
22	978
23	1409
24	1906
25	1943
26	1902
27	2356
28	1812
29	1072
30	137
31	440
32	806
33	1201
34	1593
35	1734
36	1722
37	2168
38	1587
39	969
40	91
41	331
42	804
43	1153
44	1504
45	1696
46	1642
47	2149
48	1543
49	948
50	89
51	372
52	847
53	1198
54	1540
55	1758
56	1743
57	2205
58	1577
59	952
60	71
61	262
62	588
63	828
64	1080
65	1114
66	1225
67	1461
68	1052
69	613
70	39
71	149
72	328
73	463
74	594
75	665
76	646
77	794
78	569
79	323
80	35
81	162
82	262
83	430
84	500
85	594
88	628
89	352
90	51
91	264
92	426
93	747
94	860
95	1029
96	1142
98	1107
99	601
100	88
101	364
102	619
103	933
104	1379
105	1656
106	1616
108	1571
109	868
110	54
111	210
112	383
113	591
114	882
115	1041
118	983
119	547
