OpCh	Count
0	15
1	40
2	63
4	116
5	130
6	123
7	165
8	121
9	73
10	24
11	67
12	120
13	175
14	235
15	241
16	242
17	292
18	221
19	124
20	38
21	87
22	161
23	248
24	338
25	351
26	341
27	399
28	298
29	170
30	31
31	62
32	139
33	223
34	310
35	315
36	297
37	356
38	263
39	148
40	21
41	55
42	143
43	197
44	282
45	294
46	308
47	360
48	269
49	155
50	20
51	52
52	145
53	176
54	296
55	315
56	321
57	371
58	282
59	179
60	15
61	37
62	89
63	117
64	204
65	212
66	236
67	265
68	193
69	125
70	10
71	16
72	52
73	67
74	118
75	128
76	105
77	136
78	95
79	68
80	2
81	12
82	33
83	77
84	96
85	115
88	119
89	71
90	8
91	35
92	68
93	147
94	162
95	207
96	210
98	206
99	114
100	15
101	53
102	95
103	170
104	264
105	328
106	311
108	301
109	164
110	13
111	42
112	76
113	110
114	172
115	210
118	195
119	103
