OpCh	Count
0	13
1	41
2	81
4	171
5	176
6	188
7	230
8	178
9	115
10	27
11	87
12	147
13	197
14	282
15	302
16	323
17	382
18	296
19	176
20	39
21	121
22	217
23	307
24	414
25	440
26	455
27	567
28	432
29	264
30	32
31	104
32	189
33	299
34	395
35	435
36	405
37	502
38	379
39	238
40	23
41	82
42	190
43	285
44	392
45	426
46	393
47	488
48	348
49	220
50	20
51	79
52	184
53	295
54	396
55	446
56	405
57	477
58	334
59	200
60	11
61	51
62	133
63	199
64	248
65	264
66	272
67	302
68	211
69	117
70	8
71	34
72	71
73	113
74	139
75	158
76	148
77	179
78	120
79	69
80	5
81	30
82	44
83	96
84	123
85	140
88	124
89	64
90	11
91	59
92	105
93	192
94	219
95	248
96	255
98	239
99	129
100	23
101	91
102	140
103	239
104	331
105	387
106	350
108	318
109	166
110	21
111	70
112	117
113	174
114	214
115	245
118	213
119	116
