OpCh	Count
0	21
1	59
2	99
4	202
5	211
6	232
7	251
8	195
9	101
10	29
11	89
12	160
13	256
14	348
15	367
16	376
17	422
18	327
19	173
20	51
21	141
22	240
23	362
24	486
25	511
26	528
27	623
28	488
29	264
30	44
31	133
32	212
33	320
34	411
35	443
36	445
37	569
38	444
39	263
40	33
41	107
42	223
43	277
44	369
45	403
46	441
47	573
48	440
49	253
50	26
51	100
52	213
53	281
54	364
55	432
56	454
57	595
58	437
59	263
60	14
61	60
62	131
63	179
64	244
65	276
66	327
67	391
68	283
69	163
70	7
71	29
72	69
73	105
74	145
75	171
76	169
77	227
78	168
79	99
80	11
81	35
82	51
83	109
84	120
85	159
88	158
89	91
90	18
91	68
92	113
93	189
94	219
95	275
96	274
98	295
99	177
100	18
101	91
102	153
103	247
104	361
105	421
106	398
108	389
109	218
110	6
111	56
112	92
113	156
114	220
115	266
118	241
119	125
