OpCh	Count
0	26
1	99
2	149
4	278
5	307
6	294
7	364
8	290
9	174
10	51
11	152
12	255
13	376
14	469
15	521
16	546
17	670
18	511
19	302
20	64
21	228
22	393
23	588
24	726
25	776
26	777
27	956
28	712
29	418
30	50
31	185
32	339
33	522
34	673
35	722
36	721
37	876
38	643
39	376
40	34
41	155
42	363
43	515
44	664
45	721
46	702
47	869
48	626
49	367
50	38
51	148
52	349
53	498
54	680
55	752
56	749
57	906
58	657
59	380
60	27
61	100
62	238
63	335
64	461
65	483
66	534
67	595
68	429
69	250
70	16
71	52
72	142
73	181
74	270
75	298
76	274
77	321
78	233
79	129
80	12
81	68
82	99
83	190
84	213
85	265
88	272
89	142
90	26
91	100
92	183
93	321
94	382
95	449
96	469
98	465
99	258
100	41
101	154
102	253
103	392
104	614
105	731
106	689
108	645
109	350
110	33
111	86
112	173
113	251
114	388
115	454
118	418
119	226
