OpCh	Count
0	12
1	46
2	95
4	164
5	169
6	176
7	216
8	156
9	85
10	23
11	93
12	157
13	220
14	293
15	314
16	325
17	405
18	292
19	171
20	33
21	134
22	239
23	337
24	437
25	456
26	484
27	570
28	434
29	250
30	35
31	123
32	214
33	291
34	378
35	423
36	443
37	527
38	391
39	236
40	27
41	108
42	222
43	288
44	371
45	410
46	432
47	522
48	374
49	218
50	32
51	104
52	218
53	276
54	354
55	395
56	406
57	516
58	376
59	215
60	20
61	63
62	156
63	200
64	248
65	250
66	270
67	342
68	254
69	147
70	15
71	33
72	75
73	101
74	129
75	130
76	136
77	179
78	137
79	71
80	8
81	33
82	62
83	112
84	140
85	155
88	134
89	74
90	14
91	65
92	119
93	211
94	250
95	271
96	274
98	229
99	135
100	19
101	102
102	170
103	245
104	397
105	444
106	383
108	321
109	183
110	13
111	68
112	109
113	176
114	259
115	288
118	201
119	126
