OpCh	Count
0	5
1	10
2	11
4	25
5	21
6	24
7	29
8	29
9	14
10	7
11	17
12	23
13	29
14	42
15	39
16	47
17	56
18	48
19	26
20	9
21	24
22	34
23	40
24	61
25	65
26	74
27	86
28	67
29	36
30	8
31	21
32	30
33	41
34	55
35	57
36	70
37	87
38	67
39	42
40	5
41	15
42	32
43	41
44	57
45	59
46	64
47	91
48	65
49	42
50	3
51	11
52	27
53	42
54	54
55	58
56	57
57	95
58	74
59	55
60	2
61	9
62	16
63	26
64	38
65	41
66	40
67	58
68	48
69	36
70	1
71	6
72	11
73	18
74	19
75	23
76	21
77	34
78	25
79	22
80	2
81	5
82	11
83	22
84	25
85	23
88	14
89	5
90	1
91	7
92	22
93	40
94	48
95	42
96	38
98	28
99	12
100	1
101	14
102	26
103	44
104	61
105	64
106	53
108	49
109	26
110	2
111	7
112	15
113	26
114	32
115	35
118	35
119	19
