OpCh	Count
0	42
1	118
2	219
4	381
5	387
6	368
7	486
8	359
9	232
10	68
11	194
12	349
13	521
14	671
15	700
16	677
17	881
18	653
19	428
20	92
21	278
22	490
23	725
24	981
25	1050
26	1014
27	1258
28	934
29	595
30	77
31	245
32	398
33	622
34	871
35	990
36	957
37	1149
38	857
39	539
40	54
41	208
42	435
43	622
44	823
45	937
46	927
47	1148
48	816
49	505
50	48
51	210
52	460
53	655
54	825
55	938
56	897
57	1163
58	847
59	510
60	27
61	138
62	323
63	440
64	572
65	609
66	640
67	791
68	563
69	351
70	16
71	74
72	178
73	241
74	301
75	351
76	326
77	429
78	309
79	189
80	22
81	96
82	153
83	240
84	267
85	318
88	301
89	137
90	45
91	168
92	276
93	427
94	475
95	542
96	618
98	548
99	283
100	52
101	216
102	368
103	512
104	755
105	865
106	889
108	818
109	424
110	32
111	126
112	231
113	309
114	487
115	565
118	559
119	299
