OpCh	Count
0	12
1	51
2	97
4	184
5	188
6	166
7	206
8	157
9	100
10	20
11	88
12	156
13	235
14	315
15	317
16	297
17	378
18	296
19	194
20	35
21	123
22	223
23	329
24	444
25	454
26	440
27	531
28	419
29	253
30	37
31	116
32	177
33	285
34	384
35	425
36	422
37	506
38	385
39	227
40	26
41	84
42	179
43	272
44	354
45	417
46	406
47	497
48	348
49	187
50	19
51	86
52	192
53	284
54	347
55	426
56	448
57	549
58	380
59	218
60	9
61	57
62	128
63	182
64	228
65	256
66	296
67	365
68	257
69	140
70	7
71	36
72	72
73	102
74	117
75	148
76	154
77	212
78	151
79	86
80	8
81	36
82	69
83	121
84	124
85	159
88	156
89	83
90	23
91	71
92	123
93	185
94	205
95	258
96	273
98	272
99	141
100	31
101	104
102	179
103	263
104	346
105	407
106	407
108	369
109	197
110	21
111	79
112	129
113	158
114	198
115	244
118	233
119	119
