OpCh	Count
0	50
1	133
2	241
4	423
5	445
6	436
7	493
8	373
9	212
10	91
11	244
12	408
13	558
14	734
15	744
16	756
17	896
18	672
19	410
20	108
21	357
22	602
23	793
24	1051
25	1106
26	1140
27	1366
28	1036
29	611
30	91
31	278
32	509
33	711
34	922
35	982
36	1049
37	1268
38	962
39	573
40	59
41	206
42	467
43	620
44	842
45	985
46	1010
47	1271
48	900
49	532
50	45
51	190
52	444
53	640
54	851
55	975
56	977
57	1239
58	866
59	526
60	38
61	120
62	280
63	421
64	572
65	631
66	696
67	809
68	581
69	344
70	21
71	66
72	170
73	236
74	331
75	361
76	348
77	465
78	326
79	196
80	20
81	84
82	149
83	260
84	307
85	350
88	347
89	186
90	34
91	156
92	263
93	458
94	527
95	605
96	647
98	632
99	336
100	48
101	228
102	405
103	619
104	879
105	999
106	932
108	850
109	458
110	28
111	144
112	241
113	392
114	527
115	624
118	528
119	289
