OpCh	Count
0	37
1	103
2	190
4	436
5	450
6	423
7	510
8	363
9	219
10	64
11	190
12	332
13	522
14	724
15	758
16	729
17	849
18	650
19	392
20	94
21	284
22	501
23	758
24	1050
25	1117
26	1066
27	1283
28	944
29	573
30	86
31	249
32	456
33	670
34	894
35	959
36	928
37	1172
38	880
39	549
40	60
41	208
42	457
43	635
44	804
45	924
46	907
47	1175
48	852
49	533
50	53
51	211
52	466
53	658
54	822
55	911
56	908
57	1188
58	884
59	539
60	40
61	145
62	310
63	435
64	563
65	601
66	648
67	798
68	574
69	346
70	19
71	84
72	182
73	262
74	317
75	348
76	344
77	456
78	337
79	188
80	14
81	65
82	124
83	231
84	262
85	323
88	335
89	169
90	23
91	125
92	219
93	387
94	461
95	529
96	614
98	569
99	295
100	46
101	193
102	352
103	512
104	760
105	886
106	878
108	817
109	431
110	35
111	133
112	238
113	330
114	458
115	523
118	504
119	271
