OpCh	Count
0	37
1	112
2	177
4	366
5	404
6	419
7	476
8	358
9	214
10	81
11	206
12	365
13	495
14	657
15	714
16	732
17	831
18	616
19	346
20	90
21	282
22	492
23	724
24	956
25	1012
26	1015
27	1207
28	896
29	519
30	74
31	228
32	451
33	662
34	855
35	882
36	890
37	1048
38	791
39	451
40	45
41	187
42	426
43	621
44	781
45	842
46	846
47	1082
48	805
49	472
50	55
51	187
52	413
53	590
54	765
55	842
56	854
57	1094
58	819
59	498
60	29
61	133
62	281
63	375
64	504
65	543
66	602
67	759
68	579
69	357
70	18
71	62
72	155
73	200
74	280
75	312
76	311
77	410
78	304
79	190
80	7
81	55
82	107
83	202
84	259
85	297
88	289
89	147
90	22
91	103
92	200
93	356
94	428
95	503
96	563
98	527
99	271
100	32
101	158
102	311
103	469
104	697
105	816
106	811
108	741
109	398
110	26
111	109
112	187
113	284
114	439
115	524
118	461
119	253
