OpCh	Count
0	29
1	58
2	106
4	187
5	184
6	178
7	224
8	182
9	109
10	45
11	107
12	169
13	237
14	314
15	329
16	323
17	402
18	304
19	178
20	46
21	146
22	247
23	369
24	462
25	491
26	471
27	585
28	449
29	265
30	35
31	110
32	208
33	316
34	419
35	445
36	464
37	547
38	405
39	227
40	21
41	103
42	225
43	312
44	398
45	423
46	435
47	555
48	404
49	228
50	33
51	102
52	224
53	301
54	375
55	416
56	447
57	565
58	407
59	233
60	19
61	81
62	150
63	206
64	241
65	265
66	290
67	375
68	278
69	159
70	13
71	42
72	72
73	99
74	122
75	152
76	154
77	207
78	148
79	87
80	6
81	36
82	59
83	108
84	118
85	141
88	159
89	90
90	21
91	74
92	122
93	200
94	230
95	263
96	288
98	277
99	162
100	23
101	98
102	165
103	258
104	371
105	430
106	430
108	406
109	212
110	18
111	60
112	114
113	161
114	262
115	289
118	257
119	123
