============================================================
CONFIG SUMMARY
============================================================
SRC_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28778_new202602/wvf_merged_applyCut_thre3
DST_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28778_new202602/wvf_applyCut_removeBeam
Cut window [A,B]: [-0.12, -0.03]
SEARCH_WINDOW   : 4
DRY_RUN         : False
LOG_FILES:
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28778/print.log
============================================================

[INFO] Building Pandora_T0 index from logs...
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28778/print.log
[INFO] Indexed candidates: 7324

[INFO] Found ROOT files: 6480

[COPY] event=1000, trackID=21, T0=-2.32955 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28778_new202602/wvf_applyCut_removeBeam/wvfFind_event1000_trackID21_opNum6.root
[COPY] event=10030, trackID=3, T0=0.0627731 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28778_new202602/wvf_applyCut_removeBeam/wvfFind_event10030_trackID3_opNum5.root
[COPY] event=10047, trackID=13, T0=-2.25111 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28778_new202602/wvf_applyCut_removeBeam/wvfFind_event10047_trackID13_opNum7.root
[COPY] event=10064, trackID=1, T0=-0.544611 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28778_new202602/wvf_applyCut_removeBeam/wvfFind_event10064_trackID1_opNum8.root
[SKIP] (in range) event=10068, trackID=29, T0=-0.0788118
[COPY] event=1007, trackID=12, T0=-2.01888 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28778_new202602/wvf_applyCut_removeBeam/wvfFind_event1007_trackID12_opNum3_merged.root
[COPY] event=10090, trackID=18, T0=-1.43514 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28778_new202602/wvf_applyCut_removeBeam/wvfFind_event10090_trackID18_opNum8_merged.root
[COPY] event=10095, trackID=3, T0=0.445665 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28778_new202602/wvf_applyCut_removeBeam/wvfFind_event10095_trackID3_opNum9.root
[COPY] event=10125, trackID=1, T0=-0.668831 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28778_new202602/wvf_applyCut_removeBeam/wvfFind_event10125_trackID1_opNum4.root
[COPY] event=10125, trackID=1, T0=-0.668831 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28778_new202602/wvf_applyCut_removeBeam/wvfFind_event10125_trackID1_opNum4_2.root
[COPY] event=10132, trackID=2, T0=-1.13742 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28778_new202602/wvf_applyCut_removeBeam/wvfFind_event10132_trackID2_opNum4.root
[COPY] event=10145, trackID=14, T0=-2.04928 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28778_new202602/wvf_applyCut_removeBeam/wvfFind_event10145_trackID14_opNum9.root
[COPY] event=10148, trackID=14, T0=-0.863301 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28778_new202602/wvf_applyCut_removeBeam/wvfFind_event10148_trackID14_opNum3_merged.root
[COPY] event=10159, trackID=6, T0=-1.38136 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28778_new202602/wvf_applyCut_removeBeam/wvfFind_event10159_trackID6_opNum9.root
