============================================================
CONFIG SUMMARY
============================================================
SRC_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28796_new202602/wvf_merged_applyCut_thre3
DST_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28796_new202602/wvf_applyCut_removeBeam
Cut window [A,B]: [-0.12, -0.03]
SEARCH_WINDOW   : 4
DRY_RUN         : False
LOG_FILES:
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28796/print.log
============================================================

[INFO] Building Pandora_T0 index from logs...
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28796/print.log
[INFO] Indexed candidates: 3813

[INFO] Found ROOT files: 3400

[COPY] event=10043, trackID=36, T0=-2.47292 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28796_new202602/wvf_applyCut_removeBeam/wvfFind_event10043_trackID36_opNum4.root
[COPY] event=10050, trackID=8, T0=0.220877 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28796_new202602/wvf_applyCut_removeBeam/wvfFind_event10050_trackID8_opNum6_merged.root
[COPY] event=10084, trackID=8, T0=-1.8591 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28796_new202602/wvf_applyCut_removeBeam/wvfFind_event10084_trackID8_opNum5.root
[COPY] event=1008, trackID=5, T0=0.416544 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28796_new202602/wvf_applyCut_removeBeam/wvfFind_event1008_trackID5_opNum8.root
[COPY] event=10090, trackID=7, T0=-2.14354 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28796_new202602/wvf_applyCut_removeBeam/wvfFind_event10090_trackID7_opNum7.root
[COPY] event=10102, trackID=11, T0=0.377246 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28796_new202602/wvf_applyCut_removeBeam/wvfFind_event10102_trackID11_opNum9.root
[COPY] event=10103, trackID=17, T0=0.35735 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28796_new202602/wvf_applyCut_removeBeam/wvfFind_event10103_trackID17_opNum9.root
[COPY] event=1010, trackID=12, T0=-2.01395 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28796_new202602/wvf_applyCut_removeBeam/wvfFind_event1010_trackID12_opNum8.root
[COPY] event=10120, trackID=5, T0=-0.620216 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28796_new202602/wvf_applyCut_removeBeam/wvfFind_event10120_trackID5_opNum5.root
[COPY] event=10139, trackID=3, T0=0.182757 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28796_new202602/wvf_applyCut_removeBeam/wvfFind_event10139_trackID3_opNum5.root
[COPY] event=10141, trackID=10, T0=2.22286 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28796_new202602/wvf_applyCut_removeBeam/wvfFind_event10141_trackID10_opNum4.root
[COPY] event=10146, trackID=18, T0=-2.17137 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28796_new202602/wvf_applyCut_removeBeam/wvfFind_event10146_trackID18_opNum6.root
[COPY] event=10151, trackID=14, T0=-1.98454 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28796_new202602/wvf_applyCut_removeBeam/wvfFind_event10151_trackID14_opNum5.root
