============================================================
CONFIG SUMMARY
============================================================
SRC_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28758_new202602/wvf_merged_applyCut_thre3
DST_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28758_new202602/wvf_applyCut_removeBeam
Cut window [A,B]: [-0.12, -0.03]
SEARCH_WINDOW   : 4
DRY_RUN         : False
LOG_FILES:
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28758/print.log
============================================================

[INFO] Building Pandora_T0 index from logs...
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28758/print.log
[INFO] Indexed candidates: 16658

[INFO] Found ROOT files: 14764

[COPY] event=100000, trackID=10, T0=-1.77635 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28758_new202602/wvf_applyCut_removeBeam/wvfFind_event100000_trackID10_opNum5.root
[COPY] event=100004, trackID=2, T0=-1.83156 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28758_new202602/wvf_applyCut_removeBeam/wvfFind_event100004_trackID2_opNum5_merged.root
[COPY] event=100009, trackID=10, T0=-1.18928 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28758_new202602/wvf_applyCut_removeBeam/wvfFind_event100009_trackID10_opNum3_merged.root
[COPY] event=100013, trackID=10, T0=-2.2326 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28758_new202602/wvf_applyCut_removeBeam/wvfFind_event100013_trackID10_opNum5.root
[COPY] event=100019, trackID=1, T0=-1.07782 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28758_new202602/wvf_applyCut_removeBeam/wvfFind_event100019_trackID1_opNum8.root
[COPY] event=100021, trackID=7, T0=-1.78824 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28758_new202602/wvf_applyCut_removeBeam/wvfFind_event100021_trackID7_opNum7.root
[COPY] event=100022, trackID=8, T0=-1.82055 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28758_new202602/wvf_applyCut_removeBeam/wvfFind_event100022_trackID8_opNum5.root
[COPY] event=100032, trackID=5, T0=-1.36199 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28758_new202602/wvf_applyCut_removeBeam/wvfFind_event100032_trackID5_opNum5.root
[COPY] event=100055, trackID=4, T0=-1.97766 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28758_new202602/wvf_applyCut_removeBeam/wvfFind_event100055_trackID4_opNum5.root
[COPY] event=100058, trackID=0, T0=0.437775 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28758_new202602/wvf_applyCut_removeBeam/wvfFind_event100058_trackID0_opNum3.root
[COPY] event=100060, trackID=14, T0=0.0612661 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28758_new202602/wvf_applyCut_removeBeam/wvfFind_event100060_trackID14_opNum9.root
[COPY] event=100063, trackID=6, T0=-0.0137743 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28758_new202602/wvf_applyCut_removeBeam/wvfFind_event100063_trackID6_opNum4.root
[COPY] event=10006, trackID=21, T0=-2.14389 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28758_new202602/wvf_applyCut_removeBeam/wvfFind_event10006_trackID21_opNum9.root
