#events with |diff| <= 500:  2223 / 3411 (65.17%)

#events with |diff| > 500 :  1188 / 3411 (34.83%)
Event 20: PdsEventNew(muon_time=127, michel_time=257, muon_intensity=11.5038, michel_intensity=1.27735, posX=-208.316, posY=136.968, posZ=427.807, energy=36.506, lifetime=0.670808, pdg=-11, eventID=11165, trackID=3, date=20250828, reco_lifetime=2080, true_lifetime=670.808, diff_lifetime=1409.192)

Event 21: PdsEventNew(muon_time=125, michel_time=248, muon_intensity=3.90477, michel_intensity=3.05756, posX=49.8455, posY=121.794, posZ=120.489, energy=35.6535, lifetime=0.857131, pdg=-11, eventID=11189, trackID=6, date=20250828, reco_lifetime=1968, true_lifetime=857.131, diff_lifetime=1110.8690000000001)

Event 22: PdsEventNew(muon_time=129, michel_time=349, muon_intensity=257.008, michel_intensity=2.37617, posX=291.056, posY=200.458, posZ=127.31, energy=47.1502, lifetime=0.105642, pdg=-11, eventID=11211, trackID=19, date=20250828, reco_lifetime=3520, true_lifetime=105.642, diff_lifetime=3414.358)

Event 23: PdsEventNew(muon_time=128, michel_time=709, muon_intensity=220.14, michel_intensity=202.077, posX=345.001, posY=92.3599, posZ=113.328, energy=49.2961, lifetime=1.3056, pdg=-11, eventID=11385, trackID=0, date=20250828, reco_lifetime=9296, true_lifetime=1305.6000000000001, diff_lifetime=7990.4)

Event 24: PdsEventNew(muon_time=128, michel_time=234, muon_intensity=20.4108, michel_intensity=1.1897, posX=145.833, posY=82.4002, posZ=400.997, energy=43.0755, lifetime=0.192122, pdg=-11, eventID=11426, trackID=1, date=20250828, reco_lifetime=1696, true_lifetime=192.12199999999999, diff_lifetime=1503.878)

Event 25: PdsEventNew(muon_time=127, michel_time=297, muon_intensity=13.2146, michel_intensity=0.997159, posX=111.625, posY=385.125, posZ=401.025, energy=15.4106, lifetime=0.887926, pdg=11, eventID=11582, trackID=16, date=20250828, reco_lifetime=2720, true_lifetime=887.926, diff_lifetime=1832.074)

Event 26: PdsEventNew(muon_time=129, michel_time=358, muon_intensity=50.5751, michel_intensity=0.929425, posX=230.348, posY=202.529, posZ=348.784, energy=40.4439, lifetime=0.194875, pdg=-11, eventID=11595, trackID=4, date=20250828, reco_lifetime=3664, true_lifetime=194.875, diff_lifetime=3469.125)

Event 27: PdsEventNew(muon_time=127, michel_time=198, muon_intensity=16.5626, michel_intensity=1.59752, posX=106.151, posY=115.78, posZ=213.878, energy=26.5459, lifetime=2.20281, pdg=-11, eventID=11612, trackID=9, date=20250828, reco_lifetime=1136, true_lifetime=2202.81, diff_lifetime=-1066.81)

Event 28: PdsEventNew(muon_time=127, michel_time=221, muon_intensity=8.32696, michel_intensity=1.31598, posX=93.1815, posY=127.439, posZ=418.267, energy=41.4749, lifetime=0.758868, pdg=-11, eventID=11647, trackID=5, date=20250828, reco_lifetime=1504, true_lifetime=758.8679999999999, diff_lifetime=745.1320000000001)
Event 29: PdsEventNew(muon_time=127, michel_time=277, muon_intensity=12.9169, michel_intensity=0.997264, posX=86.0593, posY=469.418, posZ=143.961, energy=39.3805, lifetime=0.0456112, pdg=-11, eventID=11731, trackID=22, date=20250828, reco_lifetime=2400, true_lifetime=45.6112, diff_lifetime=2354.3888)

Event 30: PdsEventNew(muon_time=127, michel_time=211, muon_intensity=28.2905, michel_intensity=2.156, posX=-213.762, posY=197.021, posZ=395.337, energy=46.7265, lifetime=0.242597, pdg=-11, eventID=11775, trackID=4, date=20250828, reco_lifetime=1344, true_lifetime=242.597, diff_lifetime=1101.403)

Event 31: PdsEventNew(muon_time=124, michel_time=332, muon_intensity=6.13901, michel_intensity=1.03748, posX=13.6294, posY=208.614, posZ=48.9278, energy=31.0369, lifetime=4.46047, pdg=-11, eventID=11794, trackID=6, date=20250828, reco_lifetime=3328, true_lifetime=4460.47, diff_lifetime=-1132.4700000000003)

Event 32: PdsEventNew(muon_time=127, michel_time=404, muon_intensity=18.9928, michel_intensity=0.91764, posX=80.5808, posY=141.994, posZ=51.8131, energy=31.977, lifetime=0.319098, pdg=11, eventID=1179, trackID=4, date=20250828, reco_lifetime=4432, true_lifetime=319.098, diff_lifetime=4112.902)

Event 33: PdsEventNew(muon_time=128, michel_time=794, muon_intensity=43.27, michel_intensity=10.3257, posX=187.562, posY=279.17, posZ=349.395, energy=49.2385, lifetime=0.993967, pdg=-11, eventID=11823, trackID=10, date=20250828, reco_lifetime=10656, true_lifetime=993.9670000000001, diff_lifetime=9662.033)


Event 34: PdsEventNew(muon_time=126, michel_time=365, muon_intensity=9.58032, michel_intensity=1.14999, posX=30.4988, posY=129.437, posZ=215.288, energy=-1.0, lifetime=-1.0, pdg=0, eventID=11824, trackID=5, date=20250828, reco_lifetime=3824, true_lifetime=-1000.0, diff_lifetime=4824.0)

Event 35: PdsEventNew(muon_time=125, michel_time=232, muon_intensity=5.2597, michel_intensity=0.972677, posX=31.4404, posY=263.713, posZ=347.079, energy=34.0201, lifetime=7.49252, pdg=-11, eventID=11869, trackID=16, date=20250828, reco_lifetime=1712, true_lifetime=7492.5199999999995, diff_lifetime=-5780.5199999999995)


Event 36: PdsEventNew(muon_time=124, michel_time=191, muon_intensity=7.01122, michel_intensity=1.70207, posX=26.0215, posY=235.719, posZ=151.77, energy=-1.0, lifetime=-1.0, pdg=0, eventID=11973, trackID=14, date=20250828, reco_lifetime=1072, true_lifetime=-1000.0, diff_lifetime=2072.0)


Event 37: PdsEventNew(muon_time=129, michel_time=333, muon_intensity=195.581, michel_intensity=1.76548, posX=185.362, posY=295.87, posZ=315.105, energy=-1.0, lifetime=-1.0, pdg=0, eventID=1202, trackID=2, date=20250828, reco_lifetime=3264, true_lifetime=-1000.0, diff_lifetime=4264.0)



Event 38: PdsEventNew(muon_time=129, michel_time=312, muon_intensity=49.3092, michel_intensity=0.924475, posX=-246.69, posY=38.0378, posZ=360.161, energy=-1.0, lifetime=-1.0, pdg=0, eventID=12073, trackID=6, date=20250828, reco_lifetime=2928, true_lifetime=-1000.0, diff_lifetime=3928.0)




Event 39: PdsEventNew(muon_time=127, michel_time=237, muon_intensity=19.504, michel_intensity=1.15947, posX=112.309, posY=300.167, posZ=48.0877, energy=34.0902, lifetime=0.0762407, pdg=-11, eventID=1226, trackID=14, date=20250828, reco_lifetime=1760, true_lifetime=76.24069999999999, diff_lifetime=1683.7593)



Event 40: PdsEventNew(muon_time=129, michel_time=948, muon_intensity=50.2562, michel_intensity=29.6519, posX=-41.7571, posY=521.782, posZ=275.698, energy=-1.0, lifetime=-1.0, pdg=0, eventID=12309, trackID=23, date=20250828, reco_lifetime=13104, true_lifetime=-1000.0, diff_lifetime=14104.0)



Event 41: PdsEventNew(muon_time=125, michel_time=187, muon_intensity=7.57896, michel_intensity=0.962033, posX=35.0572, posY=97.6057, posZ=196.537, energy=52.9091, lifetime=0.295543, pdg=11, eventID=12344, trackID=20, date=20250828, reco_lifetime=992, true_lifetime=295.543, diff_lifetime=696.457)


Event 42: PdsEventNew(muon_time=126, michel_time=301, muon_intensity=9.03239, michel_intensity=1.46097, posX=43.1118, posY=173.064, posZ=159.932, energy=34.4981, lifetime=1.89036, pdg=-11, eventID=12363, trackID=7, date=20250828, reco_lifetime=2800, true_lifetime=1890.3600000000001, diff_lifetime=909.6399999999999)





Event 43: PdsEventNew(muon_time=126, michel_time=216, muon_intensity=6.34727, michel_intensity=1.15977, posX=49.0002, posY=460.751, posZ=144.137, energy=43.6634, lifetime=0.208029, pdg=-11, eventID=12397, trackID=19, date=20250828, reco_lifetime=1440, true_lifetime=208.029, diff_lifetime=1231.971)

Event 44: PdsEventNew(muon_time=125, michel_time=184, muon_intensity=8.86211, michel_intensity=0.956664, posX=34.1675, posY=187.766, posZ=170.975, energy=41.0012, lifetime=0.0990042, pdg=-11, eventID=12435, trackID=2, date=20250828, reco_lifetime=944, true_lifetime=99.0042, diff_lifetime=844.9958)

