[INFO] Source directory: /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/new20251010s/wvf_merged_20251025/
[INFO] Destination directory: /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/new20251010s/wvf_merged_applyCut_20251025/
[WARNING] Destination already exists, removing: /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/new20251010s/wvf_merged_applyCut_20251025/
[INFO] Created clean destination directory.
[INFO] Found 2485 ROOT files to process.
[PASS] wvfFind_event1854_trackID11_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event14598_trackID11_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event4811_trackID3_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event6468_trackID26_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event11677_trackID16_opNum1_merged.root (ms_ch=1)
[PASS] wvfFind_event14801_trackID10_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event23003_trackID17_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event22958_trackID0_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event19034_trackID9_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event15143_trackID4_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event1861_trackID11_opNum9.root → copied (ms_ch=9)
[PASS] wvfFind_event7412_trackID10_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event21844_trackID9_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event20844_trackID3_opNum2_merged.root (ms_ch=2)
[PASS] wvfFind_event2492_trackID10_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event7380_trackID12_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event19654_trackID1_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event250_trackID10_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event18354_trackID17_opNum7_merged.root → copied (ms_ch=7)
[PASS] wvfFind_event11589_trackID18_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event1774_trackID4_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event14525_trackID3_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event2773_trackID1_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event5602_trackID0_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event1177_trackID27_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event16454_trackID10_opNum3_merged.root → copied (ms_ch=3)
[PASS] wvfFind_event229_trackID14_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event1717_trackID3_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event15535_trackID12_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event3121_trackID11_opNum9_merged.root → copied (ms_ch=9)
