[INFO] Source directory: /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/new20251010s/wvf_merged_20251013/
[INFO] Destination directory: /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/new20251010s/wvf_merged_applyCut_20251013/
[WARNING] Destination already exists, removing: /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/new20251010s/wvf_merged_applyCut_20251013/
[INFO] Created clean destination directory.
[INFO] Found 3540 ROOT files to process.
[PASS] wvfFind_event24656_trackID6_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event14924_trackID10_opNum1_merged.root (ms_ch=1)
[PASS] wvfFind_event18915_trackID30_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event1693_trackID5_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event21183_trackID4_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event17581_trackID14_opNum1_merged.root (ms_ch=1)
[PASS] wvfFind_event1380_trackID13_opNum4_merged.root → copied (ms_ch=4)
[PASS] wvfFind_event16705_trackID6_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event24091_trackID14_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event8010_trackID8_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event14343_trackID18_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event22903_trackID7_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event14833_trackID0_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event23028_trackID4_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event22069_trackID35_opNum2_merged.root (ms_ch=2)
[PASS] wvfFind_event7176_trackID1_opNum4_merged.root → copied (ms_ch=4)
[SKIP] wvfFind_event3137_trackID9_opNum1_merged.root (ms_ch=1)
[PASS] wvfFind_event15687_trackID3_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event2642_trackID13_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event7573_trackID25_opNum1_merged.root (ms_ch=1)
[PASS] wvfFind_event21984_trackID28_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event7608_trackID10_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event6026_trackID3_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event2315_trackID1_opNum3_merged.root → copied (ms_ch=3)
[PASS] wvfFind_event18043_trackID3_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event9873_trackID12_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event3323_trackID19_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event1892_trackID11_opNum4_merged.root → copied (ms_ch=4)
[PASS] wvfFind_event8549_trackID23_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event2174_trackID0_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event8306_trackID10_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event16656_trackID4_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event9738_trackID6_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event12387_trackID17_opNum7_merged.root → copied (ms_ch=7)
[PASS] wvfFind_event15617_trackID7_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event7399_trackID2_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event3147_trackID2_opNum9.root → copied (ms_ch=9)
[PASS] wvfFind_event5721_trackID6_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event8411_trackID17_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event23261_trackID6_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event950_trackID13_opNum3_merged.root → copied (ms_ch=3)
[PASS] wvfFind_event10697_trackID4_opNum9.root → copied (ms_ch=9)
[PASS] wvfFind_event2288_trackID24_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event24735_trackID14_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event8829_trackID23_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event21444_trackID20_opNum7_merged.root → copied (ms_ch=7)
[PASS] wvfFind_event19952_trackID6_opNum3_merged.root → copied (ms_ch=3)
[PASS] wvfFind_event9817_trackID9_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event5111_trackID3_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event7674_trackID2_opNum2.root (ms_ch=2)
[PASS] wvfFind_event15913_trackID6_opNum4_merged.root → copied (ms_ch=4)
[PASS] wvfFind_event12575_trackID2_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event20518_trackID22_opNum7_merged.root → copied (ms_ch=7)
[PASS] wvfFind_event13162_trackID0_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event8354_trackID19_opNum7_merged.root → copied (ms_ch=7)
[PASS] wvfFind_event15844_trackID19_opNum7_merged.root → copied (ms_ch=7)
[PASS] wvfFind_event13296_trackID5_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event17682_trackID7_opNum5_merged.root → copied (ms_ch=5)
[SKIP] wvfFind_event8430_trackID20_opNum2_merged.root (ms_ch=2)
[PASS] wvfFind_event20686_trackID17_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event12184_trackID27_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event3550_trackID10_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event8049_trackID1_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event15331_trackID4_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event6956_trackID2_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event15045_trackID17_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event6404_trackID22_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event1383_trackID3_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event10806_trackID7_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event23549_trackID14_opNum4_merged.root → copied (ms_ch=4)
[PASS] wvfFind_event11468_trackID14_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event15053_trackID15_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event9124_trackID22_opNum7_merged.root → copied (ms_ch=7)
[PASS] wvfFind_event17128_trackID24_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event7848_trackID20_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event8686_trackID9_opNum2_merged.root (ms_ch=2)
[PASS] wvfFind_event16878_trackID14_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event21768_trackID4_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event10990_trackID9_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event4411_trackID16_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event21963_trackID17_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event2270_trackID9_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event842_trackID7_opNum3_merged.root → copied (ms_ch=3)
[PASS] wvfFind_event24613_trackID2_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event21636_trackID4_opNum3_merged.root → copied (ms_ch=3)
[PASS] wvfFind_event1551_trackID11_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event29_trackID11_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event20680_trackID15_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event5636_trackID6_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event22775_trackID18_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event4542_trackID4_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event7526_trackID13_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event1098_trackID8_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event3496_trackID9_opNum2_merged.root (ms_ch=2)
[PASS] wvfFind_event18508_trackID8_opNum4_merged.root → copied (ms_ch=4)
[PASS] wvfFind_event390_trackID12_opNum3_merged.root → copied (ms_ch=3)
[SKIP] wvfFind_event17692_trackID30_opNum1_merged.root (ms_ch=1)
[PASS] wvfFind_event6314_trackID8_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event13657_trackID0_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event16488_trackID20_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event21343_trackID19_opNum4_merged.root → copied (ms_ch=4)
[PASS] wvfFind_event23906_trackID10_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event6168_trackID29_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event22966_trackID14_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event15067_trackID36_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event10332_trackID3_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event20858_trackID1_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event12017_trackID19_opNum3_merged.root → copied (ms_ch=3)
[PASS] wvfFind_event20191_trackID9_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event1588_trackID23_opNum7_merged.root → copied (ms_ch=7)
[PASS] wvfFind_event20209_trackID5_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event20350_trackID6_opNum7_merged.root → copied (ms_ch=7)
[PASS] wvfFind_event476_trackID29_opNum3_merged.root → copied (ms_ch=3)
[PASS] wvfFind_event14544_trackID22_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event22373_trackID7_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event6280_trackID21_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event5958_trackID2_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event15108_trackID22_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event4060_trackID16_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event17988_trackID2_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event2253_trackID9_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event1030_trackID19_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event15434_trackID8_opNum3_merged.root → copied (ms_ch=3)
[PASS] wvfFind_event12673_trackID10_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event21596_trackID14_opNum3_merged.root → copied (ms_ch=3)
[PASS] wvfFind_event3789_trackID8_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event3815_trackID19_opNum2_merged.root (ms_ch=2)
[SKIP] wvfFind_event24851_trackID35_opNum1_merged.root (ms_ch=1)
[SKIP] wvfFind_event15821_trackID24_opNum2_merged.root (ms_ch=2)
[PASS] wvfFind_event16521_trackID0_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event19977_trackID13_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event23722_trackID4_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event24491_trackID21_opNum7_merged.root → copied (ms_ch=7)
[PASS] wvfFind_event17232_trackID4_opNum3.root → copied (ms_ch=3)
[PASS] wvfFind_event7515_trackID5_opNum3_merged.root → copied (ms_ch=3)
[PASS] wvfFind_event3219_trackID6_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event8767_trackID23_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event24607_trackID13_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event3190_trackID31_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event7538_trackID26_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event16547_trackID14_opNum7_merged.root → copied (ms_ch=7)
[PASS] wvfFind_event2845_trackID0_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event1024_trackID21_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event20198_trackID6_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event17727_trackID5_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event4938_trackID5_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event5267_trackID1_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event9164_trackID2_opNum3.root → copied (ms_ch=3)
[PASS] wvfFind_event16498_trackID3_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event130_trackID15_opNum7_merged.root → copied (ms_ch=7)
[PASS] wvfFind_event24501_trackID6_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event2713_trackID0_opNum1_merged.root (ms_ch=1)
[PASS] wvfFind_event9785_trackID18_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event2209_trackID5_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event24928_trackID3_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event12200_trackID2_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event246_trackID13_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event13863_trackID10_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event4982_trackID3_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event18236_trackID4_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event5504_trackID11_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event22719_trackID9_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event9410_trackID1_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event13929_trackID7_opNum3_merged.root → copied (ms_ch=3)
[PASS] wvfFind_event17711_trackID31_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event5142_trackID7_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event3339_trackID2_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event24592_trackID0_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event4373_trackID10_opNum4_merged.root → copied (ms_ch=4)
[PASS] wvfFind_event16865_trackID0_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event19657_trackID18_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event5133_trackID8_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event9491_trackID2_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event17553_trackID16_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event6587_trackID8_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event8146_trackID1_opNum9.root → copied (ms_ch=9)
[PASS] wvfFind_event11159_trackID2_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event3137_trackID0_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event375_trackID19_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event9466_trackID11_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event4479_trackID0_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event6657_trackID0_opNum4_merged.root → copied (ms_ch=4)
[PASS] wvfFind_event21271_trackID0_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event13284_trackID18_opNum4_merged.root → copied (ms_ch=4)
[PASS] wvfFind_event11998_trackID8_opNum5_merged.root → copied (ms_ch=5)
[PASS] wvfFind_event1029_trackID8_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event24175_trackID13_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event5806_trackID0_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event5081_trackID1_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event12194_trackID8_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event15865_trackID14_opNum8_merged.root → copied (ms_ch=8)
[SKIP] wvfFind_event19793_trackID11_opNum1_merged.root (ms_ch=1)
[PASS] wvfFind_event2660_trackID3_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event3018_trackID14_opNum3_merged.root → copied (ms_ch=3)
[PASS] wvfFind_event5163_trackID12_opNum6_merged.root → copied (ms_ch=6)
[PASS] wvfFind_event8493_trackID3_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event3053_trackID25_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event14197_trackID28_opNum4_merged.root → copied (ms_ch=4)
[PASS] wvfFind_event12077_trackID10_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event23820_trackID16_opNum7_merged.root → copied (ms_ch=7)
[PASS] wvfFind_event23914_trackID3_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event20627_trackID21_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event8751_trackID9_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event16237_trackID17_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event16695_trackID11_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event12842_trackID23_opNum1_merged.root (ms_ch=1)
[PASS] wvfFind_event9264_trackID13_opNum9_merged.root → copied (ms_ch=9)
