============================================================
CONFIG SUMMARY
============================================================
SRC_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28806_new202602/wvf_merged_applyCut_thre3
DST_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28806_new202602/wvf_applyCut_removeBeam
Cut window [A,B]: [-0.12, -0.03]
SEARCH_WINDOW   : 4
DRY_RUN         : False
LOG_FILES:
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28806/print.log
============================================================

[INFO] Building Pandora_T0 index from logs...
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28806/print.log
[INFO] Indexed candidates: 4448

[INFO] Found ROOT files: 3928

[COPY] event=10006, trackID=16, T0=-1.28787 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28806_new202602/wvf_applyCut_removeBeam/wvfFind_event10006_trackID16_opNum3.root
[COPY] event=10018, trackID=14, T0=-0.33195 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28806_new202602/wvf_applyCut_removeBeam/wvfFind_event10018_trackID14_opNum4.root
[COPY] event=10022, trackID=7, T0=-1.70759 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28806_new202602/wvf_applyCut_removeBeam/wvfFind_event10022_trackID7_opNum5.root
[COPY] event=10024, trackID=3, T0=-0.904408 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28806_new202602/wvf_applyCut_removeBeam/wvfFind_event10024_trackID3_opNum5.root
[COPY] event=10032, trackID=21, T0=-2.31582 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28806_new202602/wvf_applyCut_removeBeam/wvfFind_event10032_trackID21_opNum9.root
[COPY] event=10032, trackID=21, T0=-2.31582 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28806_new202602/wvf_applyCut_removeBeam/wvfFind_event10032_trackID21_opNum9_2.root
[SKIP] (in range) event=10055, trackID=5, T0=-0.111216
[COPY] event=10057, trackID=3, T0=-1.48799 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28806_new202602/wvf_applyCut_removeBeam/wvfFind_event10057_trackID3_opNum9.root
[COPY] event=10060, trackID=9, T0=-2.27034 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28806_new202602/wvf_applyCut_removeBeam/wvfFind_event10060_trackID9_opNum8.root
[COPY] event=10071, trackID=16, T0=-1.68043 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28806_new202602/wvf_applyCut_removeBeam/wvfFind_event10071_trackID16_opNum6.root
[COPY] event=10071, trackID=16, T0=-1.68043 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28806_new202602/wvf_applyCut_removeBeam/wvfFind_event10071_trackID16_opNum6_2.root
[COPY] event=100, trackID=12, T0=-0.178498 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28806_new202602/wvf_applyCut_removeBeam/wvfFind_event100_trackID12_opNum9.root
[COPY] event=10101, trackID=1, T0=-0.17877 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28806_new202602/wvf_applyCut_removeBeam/wvfFind_event10101_trackID1_opNum4.root
[COPY] event=10101, trackID=1, T0=-0.17877 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28806_new202602/wvf_applyCut_removeBeam/wvfFind_event10101_trackID1_opNum4_2.root
