wvfFind_event56128_trackID14_opNum9.root                      Event= 56128, Track=  14, Score=0.638
wvfFind_event7107_trackID18_opNum8_merged.root                Event=  7107, Track=  18, Score=0.471
wvfFind_event127141_trackID11_opNum8.root                     Event=127141, Track=  11, Score=0.811
wvfFind_event144737_trackID13_opNum9.root                     Event=144737, Track=  13, Score=0.675
wvfFind_event171043_trackID11_opNum6_merged.root              Event=171043, Track=  11, Score=0.486
wvfFind_event67281_trackID0_opNum4.root                       Event= 67281, Track=   0, Score=0.669
wvfFind_event105257_trackID3_opNum4.root                      Event=105257, Track=   3, Score=0.933
wvfFind_event158860_trackID2_opNum4.root                      Event=158860, Track=   2, Score=0.460
wvfFind_event157047_trackID5_opNum5.root                      Event=157047, Track=   5, Score=0.984
wvfFind_event205270_trackID6_opNum4.root                      Event=205270, Track=   6, Score=0.860
wvfFind_event158804_trackID25_opNum6.root                     Event=158804, Track=  25, Score=0.580
wvfFind_event192742_trackID2_opNum5_merged.root               Event=192742, Track=   2, Score=0.788
wvfFind_event202604_trackID8_opNum9.root                      Event=202604, Track=   8, Score=0.935
wvfFind_event160683_trackID8_opNum5.root                      Event=160683, Track=   8, Score=0.818
wvfFind_event80839_trackID10_opNum4.root                      Event= 80839, Track=  10, Score=0.732
wvfFind_event175760_trackID7_opNum9_merged.root               Event=175760, Track=   7, Score=0.468
wvfFind_event111172_trackID9_opNum5.root                      Event=111172, Track=   9, Score=0.609
wvfFind_event35935_trackID8_opNum5_merged.root                Event= 35935, Track=   8, Score=0.662
wvfFind_event191234_trackID8_opNum4_merged.root               Event=191234, Track=   8, Score=0.845
wvfFind_event68765_trackID10_opNum6.root                      Event= 68765, Track=  10, Score=0.998
wvfFind_event90597_trackID8_opNum9.root                       Event= 90597, Track=   8, Score=0.461
wvfFind_event205416_trackID5_opNum4_merged.root               Event=205416, Track=   5, Score=0.601
wvfFind_event14739_trackID3_opNum5_merged.root                Event= 14739, Track=   3, Score=0.890
wvfFind_event27706_trackID7_opNum8.root                       Event= 27706, Track=   7, Score=0.443
wvfFind_event140_trackID21_opNum9.root                        Event=   140, Track=  21, Score=0.901
wvfFind_event151303_trackID2_opNum8.root                      Event=151303, Track=   2, Score=0.914
wvfFind_event138597_trackID6_opNum4_merged.root               Event=138597, Track=   6, Score=0.513
wvfFind_event159702_trackID7_opNum4.root                      Event=159702, Track=   7, Score=0.588
wvfFind_event128653_trackID5_opNum9.root                      Event=128653, Track=   5, Score=0.627
wvfFind_event141590_trackID10_opNum8.root                     Event=141590, Track=  10, Score=0.543
wvfFind_event149630_trackID7_opNum4.root                      Event=149630, Track=   7, Score=0.457
wvfFind_event9306_trackID0_opNum4_2.root                      Event=  9306, Track=   0, Score=0.928
wvfFind_event112166_trackID8_opNum5.root                      Event=112166, Track=   8, Score=0.802
wvfFind_event86950_trackID1_opNum5.root                       Event= 86950, Track=   1, Score=0.440
wvfFind_event60039_trackID0_opNum4.root                       Event= 60039, Track=   0, Score=0.833
wvfFind_event191976_trackID0_opNum9.root                      Event=191976, Track=   0, Score=0.794
wvfFind_event176780_trackID10_opNum4_merged.root              Event=176780, Track=  10, Score=0.552
wvfFind_event132612_trackID2_opNum9.root                      Event=132612, Track=   2, Score=0.747
wvfFind_event59053_trackID5_opNum4.root                       Event= 59053, Track=   5, Score=0.897
wvfFind_event68453_trackID17_opNum4.root                      Event= 68453, Track=  17, Score=0.536
wvfFind_event8541_trackID5_opNum9.root                        Event=  8541, Track=   5, Score=0.595
wvfFind_event97409_trackID12_opNum6.root                      Event= 97409, Track=  12, Score=0.524
wvfFind_event111174_trackID7_opNum9.root                      Event=111174, Track=   7, Score=0.588
wvfFind_event71969_trackID5_opNum8.root                       Event= 71969, Track=   5, Score=0.694
wvfFind_event166618_trackID4_opNum5.root                      Event=166618, Track=   4, Score=0.638
wvfFind_event129686_trackID3_opNum4.root                      Event=129686, Track=   3, Score=0.791
wvfFind_event185078_trackID0_opNum8.root                      Event=185078, Track=   0, Score=0.626
wvfFind_event186303_trackID5_opNum4_2.root                    Event=186303, Track=   5, Score=0.761
wvfFind_event49439_trackID17_opNum4_merged.root               Event= 49439, Track=  17, Score=0.904
wvfFind_event104967_trackID4_opNum5_merged.root               Event=104967, Track=   4, Score=0.455
wvfFind_event196277_trackID6_opNum8.root                      Event=196277, Track=   6, Score=0.565
wvfFind_event31889_trackID0_opNum5.root                       Event= 31889, Track=   0, Score=0.458
wvfFind_event191784_trackID8_opNum7.root                      Event=191784, Track=   8, Score=0.705
wvfFind_event48878_trackID10_opNum9.root                      Event= 48878, Track=  10, Score=0.728
wvfFind_event98833_trackID11_opNum9_merged.root               Event= 98833, Track=  11, Score=0.495
wvfFind_event91942_trackID0_opNum6_merged.root                Event= 91942, Track=   0, Score=0.993
wvfFind_event78897_trackID0_opNum4.root                       Event= 78897, Track=   0, Score=0.927
wvfFind_event32776_trackID0_opNum5_merged.root                Event= 32776, Track=   0, Score=0.998
wvfFind_event190846_trackID15_opNum9_merged.root              Event=190846, Track=  15, Score=0.737
wvfFind_event100439_trackID9_opNum6_2.root                    Event=100439, Track=   9, Score=0.668
wvfFind_event166584_trackID9_opNum7.root                      Event=166584, Track=   9, Score=0.916
wvfFind_event5464_trackID1_opNum5.root                        Event=  5464, Track=   1, Score=0.865
wvfFind_event106589_trackID1_opNum5.root                      Event=106589, Track=   1, Score=0.689
wvfFind_event86816_trackID22_opNum5_merged.root               Event= 86816, Track=  22, Score=0.629
wvfFind_event146310_trackID10_opNum4.root                     Event=146310, Track=  10, Score=0.452
wvfFind_event167592_trackID4_opNum9_2.root                    Event=167592, Track=   4, Score=0.535
wvfFind_event106948_trackID13_opNum9.root                     Event=106948, Track=  13, Score=0.685
wvfFind_event97434_trackID35_opNum5.root                      Event= 97434, Track=  35, Score=0.447
wvfFind_event175073_trackID2_opNum5.root                      Event=175073, Track=   2, Score=0.849
wvfFind_event119190_trackID8_opNum8.root                      Event=119190, Track=   8, Score=0.841
wvfFind_event45415_trackID4_opNum9.root                       Event= 45415, Track=   4, Score=0.823
wvfFind_event151698_trackID9_opNum8_2.root                    Event=151698, Track=   9, Score=0.571
wvfFind_event134585_trackID5_opNum9.root                      Event=134585, Track=   5, Score=0.845
wvfFind_event92939_trackID3_opNum9.root                       Event= 92939, Track=   3, Score=0.975
wvfFind_event120514_trackID23_opNum8.root                     Event=120514, Track=  23, Score=0.458
wvfFind_event120149_trackID10_opNum4.root                     Event=120149, Track=  10, Score=0.583
wvfFind_event152257_trackID2_opNum4_2.root                    Event=152257, Track=   2, Score=0.539
wvfFind_event124973_trackID11_opNum4_2.root                   Event=124973, Track=  11, Score=0.830
wvfFind_event58868_trackID7_opNum6.root                       Event= 58868, Track=   7, Score=0.778
