
Processing ROOT file:
michelt0_decon_run028116_0005_dataflow4_datawriter_0_20240724T091521.root

Event: 684 | Track IDs: 1 7 12 19 

Event: 692 | Track IDs: 

Event: 700 | Track IDs: 4 

Event: 708 | Track IDs: 14 16 43 

Event: 716 | Track IDs: 1 

Event: 796 | Track IDs: 0 1 16 

Event: 804 | Track IDs: 12 20 

Event: 812 | Track IDs: 1 3 



Processing ROOT file:
michelt0_decon_run028116_0006_dataflow1_datawriter_0_20240724T091548.root

Event: 1481 | Track IDs: 9 

Event: 1489 | Track IDs: 3 

Event: 1497 | Track IDs: 3 8 10 

Event: 1505 | Track IDs: 8 14 

Event: 1513 | Track IDs: 3 

Event: 1529 | Track IDs: 4 

Event: 1537 | Track IDs: 14 

Event: 1545 | Track IDs: 6 

Event: 1553 | Track IDs: 12 

Event: 1561 | Track IDs: 0 

Event: 1569 | Track IDs: 0 

Event: 1577 | Track IDs: 4 11 

Event: 1585 | Track IDs: 6 

Event: 1593 | Track IDs: 0 1 4 5 12 

Event: 1601 | Track IDs: 11 12 

Event: 1609 | Track IDs: 1 6 

Event: 1617 | Track IDs: 0 

Event: 1625 | Track IDs: 2 9 

Event: 1633 | Track IDs: 0 16 

Event: 1641 | Track IDs: 5 

Event: 1649 | Track IDs: 4 

Event: 1657 | Track IDs: 

Event: 1665 | Track IDs: 19 

Event: 1673 | Track IDs: 0 1 

Event: 1681 | Track IDs: 

Event: 1689 | Track IDs: 0 12 15 17 18 

Event: 1697 | Track IDs: 0 

Event: 1705 | Track IDs: 2 

Event: 1713 | Track IDs: 2 22 

Event: 1721 | Track IDs: 8 17 

Event: 1729 | Track IDs: 7 



Processing ROOT file:
michelt0_decon_run028116_0342_dataflow2_datawriter_0_20240724T115440.root

Event: 84794 | Track IDs: 36 

Event: 84802 | Track IDs: 7 8 

Event: 84810 | Track IDs: 0 

Event: 84842 | Track IDs: 1 10 12 

Event: 84850 | Track IDs: 5 8 19 

Event: 84858 | Track IDs: 0 1 13 19 

Event: 84866 | Track IDs: 2 

Event: 84874 | Track IDs: 4 6 14 

Event: 84882 | Track IDs: 0 3 9 

Event: 84890 | Track IDs: 16 

Event: 84898 | Track IDs: 0 5 11 16 

Event: 84906 | Track IDs: 0 4 

Event: 84914 | Track IDs: 6 26 

Event: 84922 | Track IDs: 

Event: 84930 | Track IDs: 0 

Event: 84938 | Track IDs: 20 

Event: 84946 | Track IDs: 5 32 

Event: 84954 | Track IDs: 2 30 

Event: 84962 | Track IDs: 6 

Event: 84970 | Track IDs: 

Event: 84978 | Track IDs: 

Event: 84986 | Track IDs: 23 

Event: 84994 | Track IDs: 

Event: 85002 | Track IDs: 1 10 

Event: 85010 | Track IDs: 7 

Event: 85018 | Track IDs: 1 4 7 

Event: 85026 | Track IDs: 5 10 29 

Event: 85034 | Track IDs: 7 

Event: 85042 | Track IDs: 9 15 22 

Event: 85050 | Track IDs: 

Event: 85058 | Track IDs: 



Processing ROOT file:
michelt0_decon_run028116_0102_dataflow4_datawriter_0_20240724T100059.root

Event: 25268 | Track IDs: 20 

Event: 25276 | Track IDs: 0 2 16 

Event: 25316 | Track IDs: 1 10 

Event: 25324 | Track IDs: 0 

Event: 25332 | Track IDs: 12 

Event: 25340 | Track IDs: 

Event: 25348 | Track IDs: 4 

Event: 25356 | Track IDs: 11 14 

Event: 25364 | Track IDs: 

Event: 25372 | Track IDs: 2 5 9 

Event: 25380 | Track IDs: 

Event: 25388 | Track IDs: 0 4 7 8 20 

Event: 25396 | Track IDs: 

Event: 25404 | Track IDs: 10 26 

Event: 25412 | Track IDs: 18 

Event: 25420 | Track IDs: 0 14 

Event: 25428 | Track IDs: 6 36 

Event: 25436 | Track IDs: 

Event: 25444 | Track IDs: 8 

Event: 25452 | Track IDs: 9 

Event: 25460 | Track IDs: 1 9 30 

Event: 25468 | Track IDs: 10 

Event: 25476 | Track IDs: 1 4 

Event: 25484 | Track IDs: 20 

Event: 25492 | Track IDs: 

Event: 25500 | Track IDs: 0 11 

Event: 25508 | Track IDs: 1 3 

Event: 25516 | Track IDs: 2 3 16 

Event: 25524 | Track IDs: 

Event: 25532 | Track IDs: 2 18 

Event: 25540 | Track IDs: 35 



Processing ROOT file:
michelt0_decon_run028116_0065_dataflow7_datawriter_0_20240724T094330.root

Event: 16127 | Track IDs: 

Event: 16135 | Track IDs: 2 

Event: 16143 | Track IDs: 1 4 5 12 20 30 

Event: 16151 | Track IDs: 3 

Event: 16159 | Track IDs: 2 

Event: 16167 | Track IDs: 2 18 

Event: 16175 | Track IDs: 3 5 

