Run Event TrackID VertexX VertexY VertexZ
28891 166247 4 9.21513 377.875 445.144
28891 166335 4 210.774 598.587 287.435
28891 166359 2 149.379 599.116 386.487
28891 166367 2 295.666 361.906 216.853
28891 166391 7 61.7816 594.141 412.845
28891 166391 15 14.6673 586.721 232.613
28891 2234 4 -39.9799 591.759 411.415
28891 2314 5 158.59 499.604 426.047
28891 2346 9 -91.9529 593.076 264.381
28891 1335 15 11.6763 596.946 40.6962
28891 1375 4 9.56562 581.828 173.774
28891 1383 7 222.997 547.009 321.046
28891 1798 3 55.7683 591.271 184.869
28891 1958 6 72.4567 590.668 362.46
28891 323 9 -56.7361 589.976 217.082
28891 387 16 15.8934 587.545 397.486
28891 166165 7 135.551 581.015 28.2023
28891 166189 0 345.227 538.1 273.486
28891 166229 13 42.3825 591.181 359.27
28891 166229 21 26.7482 259.803 424.6
28891 166253 5 173.269 581.158 385.715
28891 246 7 72.3225 589.995 274.91
28891 270 9 151.707 596.888 374.781
28891 302 8 95.8605 598.068 147.657
28891 494 23 -30.5185 233.964 258.288
28891 164700 10 174.502 584.143 115.443
28891 164772 2 171.817 309.03 234.947
28891 164796 35 19.4282 239.434 232.228
28891 164820 0 -121.992 507.978 457.729
28891 658 7 106.589 188.298 226.484
28891 738 4 22.6724 590.033 195.884
28891 301 0 240.072 518.173 460.93
28891 325 4 172.8 600.071 231.738
28891 333 31 19.3709 291.547 100.321
28891 341 25 36.8263 588.619 374.256
28891 421 29 -2.14526 392.826 218.682
28891 453 10 -18.4578 632.739 211.288
28891 461 6 134.959 517.053 301.973
28891 3346 19 86.0096 494.337 455.054
28891 3394 7 154.024 486.236 2.6087
28891 4975 3 225.651 232.708 461.825
28891 5095 20 20.3261 587.517 268.334
28891 5119 7 38.1847 571.667 448.753
28891 7041 0 243.512 604.774 114.891
28891 7161 29 -17.8086 243.388 438.132
28891 4087 17 36.993 589.806 328.635
28891 4135 3 -144.272 600.373 344.91
28891 1088 7 -127.216 601.956 47.3703
28891 1112 1 253.14 566.356 307.539
28891 1144 12 18.6005 387.873 14.9422
28891 1200 19 84.0338 446.71 456.568
28891 1232 26 31.9226 586.402 294.512
28891 4778 3 115.357 597.039 422.405
28891 4882 31 -364.336 553.944 270.751
28891 4898 0 342.734 435.072 437.748
28891 12751 12 -71.0819 430.736 12.5232
28891 12783 1 222.863 606.176 453.744
28891 12783 15 52.9272 589.861 349.594
28891 10994 9 82.7415 593.327 392.695
28891 1355 9 113.631 600.009 77.9612
28891 1427 3 61.0772 588.817 342.046
28891 8790 2 -65.8186 555.886 436.594
28891 8878 23 53.9978 168.201 68.5278
28891 3820 19 19.999 487.744 449.09
28891 12469 14 32.0016 211.196 8.81574
28891 12525 7 16.3414 299.81 14.5963
28891 12605 8 10.9347 518.783 448.039
28891 310998 9 47.7758 301.397 14.6442
28891 311046 8 -16.6703 260.908 254.017
28891 311054 22 38.7896 431.885 150.183
28891 311070 21 -55.7406 579.457 206.908
28891 311086 7 86.7445 580.039 450.674
28891 311198 7 160.994 273.794 392.248
28891 91090 9 31.3003 413.987 446.217
28891 91098 0 343.904 287.566 286.174
28891 91106 8 239.442 515.415 358.731
28891 91146 10 79.2973 377.426 239.257
28891 91170 6 135.589 600.456 170.023
28891 91186 2 242.472 607.175 145.748
28891 91250 6 213.094 544.374 152.958
28891 250805 5 77.2774 590.755 348.591
28891 250845 28 10.2449 587.624 345.021
28891 250877 14 5.2965 586.104 301.803
28891 250885 8 139.469 596.038 334.779
28891 250949 9 -4.11003 581.341 182.601
28891 50893 12 10.58 587.978 296.093
28891 50973 19 26.3092 587.266 291.896
28891 50981 3 288.808 608.099 245.076
28891 51013 8 60.2912 493.989 56.8912
28891 144247 23 23.5736 112.777 192.071
28891 144319 8 87.9767 595.988 197.358
28891 231917 1 29.8351 591.877 355.68
28891 246558 17 126.154 178.04 288.562
28891 246582 8 -28.9003 588.361 65.2173
28891 246598 10 -36.6909 371.721 371.971
28891 246742 12 56.1038 594.117 416.592
28891 44413 7 99.2263 318.594 452.292
28891 44437 6 208.01 219.742 446.828
28891 202959 4 43.549 588.406 315.53
28891 203015 27 15.4092 585.744 374.962
28891 348720 6 -57.0429 434.387 190.171
28891 348808 14 -170.68 578.167 286.384
28891 348816 5 198.487 501.986 102.965
28891 348920 3 307.325 609.059 361.977
28891 315307 12 -69.1193 418.021 68.3241
28891 315315 29 22.9147 589.58 379.062
28891 315427 9 98.9412 460.055 139.621
28891 114582 16 121.654 162.041 370.727
28891 114718 18 53.0959 237.245 326.782
28891 114734 1 178.578 599.351 270.339
28891 114750 7 102.434 328.91 375.145
28891 114766 19 -87.0038 523.145 232.496
28891 238146 15 -31.9778 496.706 141.983
28891 31260 35 20.6656 595.019 89.773
28891 31284 6 106.007 595.101 413.0
28891 31404 16 4.8827 573.159 456.938
28891 31428 10 22.4886 539.976 453.158
28891 31452 2 67.5117 591.486 398.572
28891 31468 12 -93.0012 598.479 451.493
28891 108421 5 71.0129 599.474 172.631
28891 108549 2 115.181 600.394 225.408
28891 108573 25 30.4772 288.076 134.853
28891 108629 7 -113.196 593.795 306.868
28891 214850 14 -65.963 552.634 147.522
28891 214882 31 30.9757 124.831 157.388
28891 33543 29 5.79078 222.256 256.87
28891 33567 37 15.3313 233.282 266.669
28891 33583 5 64.9705 497.903 196.621
28891 33655 3 131.623 601.044 108.27
28891 33671 4 93.5158 603.24 58.2478
28891 33671 11 -101.504 247.312 303.943
28891 178355 26 16.9826 593.172 279.397
28891 178403 8 -84.4486 594.548 213.6
28891 178507 15 49.9975 587.596 315.38
28891 178555 2 286.946 501.526 365.735
28891 141923 2 188.606 478.11 353.544
28891 141963 7 -40.1985 587.385 225.49
28891 141995 15 43.2041 341.75 197.244
28891 142011 0 97.6293 597.2 153.164
28891 142059 1 109.121 595.006 378.157
28891 142075 6 -21.6037 316.41 15.119
28891 142099 20 -60.2488 590.495 185.233
28891 96783 3 -48.7129 588.47 325.305
28891 96799 18 52.5478 593.84 208.874
28891 172793 0 93.9643 547.991 17.3441
28891 172817 5 -131.56 600.048 97.02
28891 289233 2 270.053 607.896 338.453
28891 367030 19 55.2936 590.101 338.759
28891 367054 21 366.073 395.626 461.395
28891 367070 1 70.8354 494.25 5.80218
28891 367086 13 23.5057 479.383 11.7896
28891 367254 21 19.2526 589.682 397.971
28891 88602 0 96.7789 596.563 132.282
28891 88610 25 -6.44374 509.497 13.2734
28891 88682 27 58.3302 133.102 408.052
28891 150557 1 232.14 409.355 1.14343
28891 150629 7 -91.9707 593.383 330.803
28891 150789 3 27.7464 598.653 455.433
28891 104808 5 148.842 570.691 39.0005
28891 252968 2 100.479 598.379 174.511
28891 253016 3 21.8793 591.523 285.402
28891 253032 0 317.505 606.097 15.1841
28891 253040 4 158.149 599.015 276.577
28891 253120 13 121.145 481.849 235.156
28891 56907 10 -91.1883 495.23 232.885
28891 56939 0 347.064 445.353 365.336
28891 56979 11 -36.9542 561.525 445.236
28891 57035 9 366.398 590.6 357.004
28891 12491 33 -26.0616 296.495 258.596
28891 54751 2 -159.486 599.468 429.378
28891 179864 1 293.736 374.537 70.5457
28891 180024 21 45.0594 590.147 237.324
28891 63767 15 19.5685 479.958 9.45246
28891 63927 30 -22.1833 569.849 290.564
28891 146332 17 43.2589 589.683 336.379
28891 146412 16 77.2569 591.315 433.429
28891 146460 11 -22.8786 596.219 52.0024
28891 268883 2 346.031 499.871 237.923
28891 269011 8 76.7892 579.695 309.322
28891 158626 4 61.8869 606.466 457.406
28891 158626 36 12.9298 348.313 318.659
28891 112102 15 -14.9753 594.234 415.953
