Run Event TrackID EndX EndY EndZ
28891 58 21 27.9586 485.861 371.561
28891 82 42 -12.3492 486.242 339.618
28891 202 5 -39.1552 89.6073 338.871
28891 234 0 -218.764 227.218 310.669
28891 234 22 -17.956 416.157 423.696
28891 115 5 -20.6751 251.573 320.813
28891 188 36 -5.56246 547.839 381.602
28891 320 23 88.5975 541.045 177.754
28891 384 5 175.377 184.488 269.049
28891 424 1 221.59 311.962 141.041
28891 432 16 -85.3907 368.168 161.804
28891 472 24 -47.0242 489.7 359.968
28891 241 1 -79.3523 55.8876 313.243
28891 273 6 19.2673 166.835 382.122
28891 345 19 7.4062 383.432 392.948
28891 377 9 -15.9824 248.44 202.296
28891 412 12 -81.8263 468.848 256.903
28891 428 4 -112.167 312.308 314.538
28891 436 5 81.0475 35.391 370.548
28891 287 8 13.931 32.4961 248.203
28891 375 0 182.26 336.493 93.9848
28891 399 0 -324.281 57.2274 316.405
28891 431 0 -26.2829 166.239 415.87
28891 447 15 -100.912 54.8678 409.777
28891 521 3 -297.85 317.668 254.65
28891 569 15 6.85291 423.188 344.867
28891 601 23 -57.2055 454.038 268.929
28891 625 7 29.5369 283.737 32.0207
28891 721 19 -17.8088 460.656 312.33
28891 729 5 -60.1139 37.2261 331.985
28891 500 9 -101.022 355.56 254.468
28891 556 14 74.5684 283.794 158.23
28891 564 4 -90.7123 133.111 283.962
28891 612 1 -110.421 133.66 297.192
28891 652 5 -147.626 166.869 243.66
28891 605 9 42.5305 224.475 276.405
28891 574 27 -50.7852 61.1327 323.733
28891 606 15 17.8275 355.107 223.569
28891 646 7 -41.478 340.581 327.02
28891 678 14 -106.936 304.297 306.42
28891 726 9 -47.1426 418.417 361.861
28891 824 19 -4.79016 331.175 287.542
28891 856 12 22.1161 286.451 335.395
28891 880 12 -83.4021 429.541 368.408
28891 992 5 -147.694 124.373 135.8
28891 859 46 -9.00091 534.42 314.105
28891 899 9 -84.4264 237.612 365.531
28891 780 9 65.7712 167.828 358.513
