Run Event TrackID EndX EndY EndZ
28891 166247 4 -112.318 160.086 92.7316
28891 166335 4 -159.384 159.803 320.471
28891 166359 2 -84.1436 135.915 336.182
28891 166367 2 -19.7546 176.85 271.628
28891 166391 7 -79.2332 345.251 374.914
28891 166391 15 -23.3259 410.328 278.062
28891 2234 4 4.9854 35.409 292.714
28891 2314 5 -30.8467 206.625 292.605
28891 2346 9 124.384 256.477 186.023
28891 1335 15 -18.3395 472.813 157.498
28891 1375 4 -147.483 130.249 382.759
28891 1383 7 -95.8594 166.962 232.434
28891 1798 3 -179.01 32.4396 63.3452
28891 1958 6 -147.798 191.086 245.42
28891 323 9 126.211 291.383 258.759
28891 387 16 -69.4505 434.714 422.048
28891 166165 7 -134.188 242.614 149.834
28891 166189 0 -243.664 109.495 286.093
28891 166229 13 -132.156 409.617 414.224
28891 166229 21 -24.0001 203.139 410.397
28891 166253 5 -26.5072 286.47 401.305
28891 246 7 -127.384 95.2508 274.769
28891 270 9 -24.7229 379.415 270.132
28891 302 8 -46.7997 200.537 154.986
28891 494 23 29.4892 195.424 289.335
28891 164700 10 -50.3565 343.062 288.508
28891 164772 2 -171.329 40.8627 397.645
28891 164796 35 -12.7124 176.317 245.416
28891 164820 0 307.767 77.6262 283.669
28891 658 7 -106.515 105.733 325.47
28891 738 4 -15.4912 31.7325 220.155
28891 301 0 -344.987 58.0641 345.38
28891 325 4 -148.824 330.249 265.485
28891 333 31 -18.8707 244.027 110.141
28891 341 25 -31.8155 514.087 394.784
28891 421 29 4.93004 383.323 180.643
28891 453 10 27.4449 111.606 72.8927
28891 461 6 -74.3052 152.201 396.453
28891 3346 19 -71.0832 302.302 392.446
28891 3394 7 -59.555 222.186 172.344
28891 4975 3 -58.4435 83.7906 303.208
28891 5095 20 -69.9739 426.399 279.672
28891 5119 7 -31.8289 55.949 325.355
28891 7041 0 -328.61 245.876 43.6553
28891 7161 29 17.8805 157.27 401.724
28891 4087 17 -33.3313 441.184 327.09
28891 4135 3 97.1013 190.037 307.11
28891 1088 7 64.3054 331.682 72.5429
28891 1112 1 -250.942 77.8966 412.222
28891 1144 12 -23.9468 128.801 46.1506
28891 1200 19 -62.6277 254.912 396.596
28891 1232 26 -38.3824 413.021 311.1
28891 4778 3 -33.8957 195.905 333.922
28891 4882 31 -308.354 284.166 230.358
28891 4898 0 -188.394 167.647 116.63
28891 12751 12 45.5467 327.29 198.762
28891 12783 1 -168.93 36.0093 275.277
28891 12783 15 -92.0506 349.807 299.394
28891 10994 9 -120.861 278.389 433.542
28891 1355 9 -27.8506 395.529 252.004
28891 1427 3 -5.83636 257.092 269.764
28891 8790 2 46.6226 155.685 126.576
28891 8878 23 -51.2797 122.932 116.285
28891 3820 19 -49.8968 425.556 392.141
28891 12469 14 -117.731 116.648 37.9562
28891 12525 7 -69.8783 31.2175 314.761
28891 12605 8 -72.3453 239.26 279.219
28891 310998 9 -50.4309 84.5746 324.952
28891 311046 8 61.0026 146.297 324.707
28891 311054 22 -69.816 388.141 71.08
