Run Event TrackID Pandora_T0_ms
28891 583 1 -1.63163
28891 663 6 -0.15212
28891 711 9 -2.23885
28891 3105 8 0.0419427
28891 1831 2 -1.69784
28891 1943 0 0.175169
28891 913 10 -1.66934
28891 1116 1 0.00202078
28891 1148 7 0.372527
28891 1188 35 1.9559
28891 2640 8 -0.773673
28891 167168 1 -0.129544
28891 167184 11 1.50722
28891 167200 26 -1.60685
28891 167208 10 0.214483
28891 167296 0 0.443034
28891 3019 0 0.225802
28891 3083 13 -1.76288
28891 3139 4 -1.47738
28891 3147 12 -1.30009
28891 3179 12 -0.700428
28891 1033 2 0.299628
28891 1201 7 -1.63366
28891 165058 15 -0.758006
28891 1366 16 0.34451
28891 1470 18 -2.08489
28891 10443 0 -1.14645
28891 10451 19 -0.358597
28891 10595 4 0.368951
28891 10627 6 -1.47575
28891 9740 22 -1.67299
28891 9788 10 -0.0987918
28891 11455 2 -1.32716
28891 11471 14 -1.6079
28891 11543 12 -1.15462
28891 4051 12 -0.0304963
28891 4075 4 -1.62945
28891 1515 0 -0.0971666
28891 1531 14 -0.453055
28891 1595 7 -1.97127
28891 1643 10 0.464249
28891 1707 15 -2.11423
28891 14888 11 -0.673312
28891 14968 21 -2.17239
28891 15032 4 -0.0712262
28891 15040 11 -1.43028
28891 15048 3 -2.13006
28891 15072 5 0.0365855
28891 15128 22 2.12902
28891 1484 15 -0.289977
28891 1540 6 0.256437
28891 1556 1 -1.10601
28891 1660 25 -0.922044
28891 1739 0 -1.16955
28891 1763 3 -0.787939
28891 1787 14 -0.549251
28891 1827 19 -0.842695
28891 1947 0 0.209323
28891 1971 5 0.430986
28891 242 8 -0.296347
28891 322 30 -0.0722159
28891 346 28 -2.41009
28891 378 11 -0.166071
28891 386 15 -2.10326
28891 1034 4 -1.47727
28891 1050 8 -1.86037
28891 1194 6 -0.650482
28891 8442 16 -2.1462
28891 8578 5 -1.51966
28891 8578 17 -1.83457
28891 10192 2 -0.0937763
28891 6018 3 -0.320383
28891 6042 9 -2.19569
28891 6122 19 -0.155735
28891 6170 14 0.141123
28891 2508 3 -1.46821
28891 2524 0 -0.784656
28891 10315 14 -1.05135
28891 11905 6 -0.316333
28891 12017 10 -2.01041
28891 12145 30 -2.25209
28891 555 0 0.359033
28891 675 24 -2.34194
28891 6974 30 -2.47724
28891 7062 10 -1.17762
28891 7102 11 -2.32601
28891 7142 8 -1.44262
28891 7150 0 0.203329
28891 11426 9 -1.84154
28891 11498 4 -0.0126397
28891 11514 9 -1.79238
28891 11634 16 -2.13505
28891 4014 20 0.20862
28891 4062 17 0.160664
28891 4078 9 0.390164
28891 4198 18 -2.19019
28891 4206 30 -2.07982
28891 10432 16 -0.986997
28891 10496 1 0.291848
28891 10512 6 -0.173231
28891 10616 12 -1.22644
28891 185604 5 -0.629914
28891 185740 9 -1.14114
28891 240445 5 -1.76777
28891 358513 27 -0.405528
28891 273388 7 0.465534
28891 273404 3 -1.74766
28891 184712 0 -0.614948
28891 142415 15 -1.64615
28891 142599 0 -0.17432
28891 88805 3 -0.0365334
28891 88901 0 0.453909
28891 88965 17 -1.84858
28891 11384 12 -1.41602
28891 11400 18 -1.7029
28891 11408 22 -1.39078
28891 184628 2 -1.65004
28891 184748 10 -1.28521
28891 127240 1 -0.431764
28891 127264 10 -1.57392
28891 127400 6 0.266149
28891 127440 3 -0.851583
28891 127472 1 -0.54349
28891 339052 41 -2.41945
28891 339068 4 -0.0715592
28891 339156 3 -0.3697
28891 172455 2 -0.451076
28891 57121 1 -0.909415
28891 57121 14 -2.10298
28891 57257 14 -1.97586
28891 306092 6 -1.84915
28891 306108 17 -1.85595
28891 127790 3 -1.3279
28891 127814 14 -2.04834
28891 127902 2 -0.741187
28891 127910 7 -0.0851563
28891 127942 0 -1.1601
28891 127950 10 0.0616143
28891 127950 20 -2.08375
28891 253230 21 -2.42134
28891 216795 4 0.442644
28891 216987 28 -2.44307
28891 318951 10 -0.648468
28891 319023 2 -1.31597
28891 319023 16 -2.34881
28891 319023 22 -2.3963
28891 319087 3 -0.743458
28891 319135 17 -2.24898
28891 319143 11 0.443902
28891 239445 6 -0.862288
28891 239549 10 -0.274923
28891 19369 6 -2.20717
28891 19513 3 -1.31646
28891 19513 17 -0.624429
28891 19537 12 0.083186
28891 285499 1 -1.71039
28891 285595 2 0.26594
28891 285675 14 -1.23462
28891 111003 1 -0.721547
28891 111011 7 0.282505
28891 111035 15 0.443786
28891 111099 3 -1.59222
28891 258959 10 -1.4131
28891 239969 15 -1.41518
28891 240049 16 -0.754638
28891 171900 28 -2.36495
28891 221778 29 -1.91568
28891 221802 2 -0.559867
28891 221826 19 -0.616217
28891 221858 4 -0.71128
28891 221874 7 -1.60653
28891 221898 1 -1.26423
28891 221906 23 0.0553904
28891 221930 9 -0.34595
28891 280710 0 -0.380965
28891 280838 24 -1.69631
28891 280878 28 -0.1877
28891 280966 13 -1.55759
28891 293171 20 -2.15075
28891 293179 22 -2.12486
28891 293315 23 -2.27483
28891 288289 1 -0.190327
28891 288385 11 -0.97289
28891 159081 13 -0.345038
28891 135020 9 -0.98513
28891 135132 10 -0.690833
28891 70645 15 0.0661312
28891 144382 5 -1.51279
28891 144454 7 -0.122807
28891 144486 3 -0.992982
28891 327439 5 -1.83905
28891 216758 12 -2.34267
28891 216814 38 -2.39895
28891 216830 12 -1.31819
28891 216854 4 -2.1041
28891 216862 7 -2.15777
28891 216886 5 -0.141477
28891 216918 0 0.34528
28891 216950 5 -0.876816
28891 216958 18 0.206375
28891 216990 6 -0.857596
28891 3548 3 -0.466836
28891 3572 3 -0.836506
28891 3628 3 -0.587964
28891 3652 4 -1.83785
28891 3676 4 -1.45507
28891 3692 25 -2.38126
28891 193216 4 -1.3851
28891 193240 23 -2.28149
28891 193320 6 -1.60334
28891 26822 8 -0.258725
28891 26902 5 -1.37762
28891 27030 12 -2.373
28891 126850 2 -0.0637085
28891 126962 18 -2.26162
28891 44963 1 0.941483
28891 44979 13 -0.132631
28891 45091 8 -1.95805
28891 45099 19 0.16854
28891 45115 3 -0.379961
28891 45115 22 -1.52395
28891 97997 47 -2.15827
28891 98021 8 -1.72631
28891 98061 4 -0.780209
28891 98165 10 -1.16407
28891 119321 10 -1.09293
28891 91806 25 -1.53737
28891 91846 3 -1.68333
28891 91846 9 -1.07905
28891 91862 10 -0.922137
28891 194279 25 -2.30739
28891 336135 14 -2.11732
28891 336143 17 0.366247
28891 336167 7 -1.97362
28891 336271 30 -0.159391
28891 71687 16 0.244705
28891 71839 0 0.473926
28891 71911 14 -1.21757
28891 288359 9 0.395618
28891 167484 6 0.213641
28891 25768 1 -0.148081
28891 123528 7 -0.0695777
28891 123664 13 -2.32711
28891 123688 0 -0.523599
28891 80565 4 -0.0350155
28891 303821 24 -0.914763
28891 334675 15 -2.31203
28891 334731 1 -2.03394
28891 202899 28 1.87927
28891 202971 4 -1.14766
28891 202971 8 -2.08513
28891 203059 5 -1.1999
28891 182620 5 0.459873
28891 182676 21 0.39427
28891 133802 6 -1.84112
28891 133834 10 -0.818294
28891 218508 11 -0.777739
28891 218540 8 -0.168668
28891 218580 13 1.45576
28891 218612 0 0.456092
28891 218716 38 -2.44811
28891 100948 16 -2.09387
28891 101004 8 -1.37892
28891 101012 12 -0.969802
28891 101020 3 -0.00722166
28891 101132 11 0.127203
28891 356120 8 -0.809224
28891 117347 0 -1.10146
28891 117355 7 -1.78122
28891 303873 7 -1.95124
28891 304009 6 -1.44416
28891 241724 26 -0.474851
28891 308827 5 -1.76766
28891 308883 1 -0.526201
28891 308907 22 -2.38652
28891 308931 3 -1.19793
28891 308979 1 -1.23763
28891 348250 0 -0.652361
28891 348274 2 -1.0651
28891 348322 7 0.346175
28891 20364 5 -2.07331
28891 20444 9 -2.13091
28891 20484 7 0.145217
28891 20484 14 -0.580356
28891 308073 5 -1.07431
28891 308089 2 -0.0911915
28891 129007 12 -1.92915
28891 129063 5 -0.137463
28891 129207 7 -0.144949
28891 21141 0 -0.696092
28891 21221 7 -1.06873
28891 21253 14 -1.80913
28891 302053 5 -1.4161
28891 302189 8 -1.23516
28891 247320 12 0.402577
28891 247368 23 -1.44954
28891 103429 10 -0.393778
28891 103461 10 -2.14492
28891 103549 6 -1.69183
28891 97766 0 -0.828226
28891 97950 11 -1.92933
28891 299384 5 -1.83627
28891 299392 11 0.10378
28891 299472 18 -1.81273
28891 189475 3 0.166585
28891 189611 6 -1.26992
28891 107892 13 -1.38246
28891 107916 6 -1.44541
28891 107932 20 -1.78063
28891 107956 2 -0.423581
28891 107996 6 -0.0935683
28891 204860 17 -2.26615
28891 204900 22 -1.48191
28891 204980 26 -2.18211
28891 205012 1 -1.14643
