Run Event TrackID VertexX VertexY VertexZ
28891 583 1 136.301 502.426 418.326
28891 663 6 59.1901 602.417 455.171
28891 711 9 26.2984 598.958 14.9106
28891 3105 8 26.9217 591.148 350.513
28891 1831 2 10.0861 605.392 208.476
28891 1943 0 354.571 568.017 35.452
28891 913 10 91.9663 593.356 329.018
28891 1116 1 70.8708 597.154 72.2682
28891 1148 7 68.3542 588.287 143.641
28891 1188 35 367.886 595.129 389.001
28891 2640 8 13.4556 579.117 244.189
28891 167168 1 -163.182 599.0 325.099
28891 167184 11 363.446 433.9 193.5
28891 167200 26 40.4631 472.616 449.845
28891 167208 10 -74.5723 478.751 227.147
28891 167296 0 308.575 555.24 0.763992
28891 3019 0 346.774 483.617 302.527
28891 3083 13 115.748 365.699 291.219
28891 3139 4 160.449 327.539 307.346
28891 3147 12 -7.22676 588.369 338.425
28891 3179 12 -72.0361 372.42 22.0087
28891 1033 2 280.839 608.694 426.957
28891 1201 7 -135.253 572.65 131.178
28891 165058 15 24.349 587.002 257.11
28891 1366 16 60.7842 559.555 454.29
28891 1470 18 65.3544 141.721 427.034
28891 10443 0 90.9812 516.11 455.848
28891 10451 19 18.4817 433.137 450.665
28891 10595 4 36.9834 589.728 351.596
28891 10627 6 -98.9538 526.224 231.859
28891 9740 22 10.0819 429.305 447.615
28891 9788 10 43.3758 590.129 316.427
28891 11455 2 49.851 588.994 285.794
28891 11471 14 140.015 301.888 220.778
28891 11543 12 70.6959 533.995 455.077
28891 4051 12 365.105 404.039 33.6594
28891 4075 4 62.1521 596.946 210.266
28891 1515 0 350.819 565.46 21.0426
28891 1531 14 15.4574 588.046 397.785
28891 1595 7 83.2438 173.102 395.102
28891 1643 10 113.048 604.244 356.512
28891 1707 15 51.6461 589.432 357.845
28891 14888 11 74.0782 593.349 380.422
28891 14968 21 51.4903 284.708 150.642
28891 15032 4 -53.3506 400.875 12.4496
28891 15040 11 -115.981 550.003 41.2739
28891 15048 3 57.7377 413.323 356.302
28891 15072 5 -22.6755 589.903 209.219
28891 15128 22 371.53 335.129 179.735
28891 1484 15 48.4502 590.377 200.117
28891 1540 6 92.9345 590.34 276.989
28891 1556 1 -218.715 592.712 454.395
28891 1660 25 98.5063 329.952 237.674
28891 1739 0 208.134 415.044 55.7448
28891 1763 3 -78.8736 557.713 458.712
28891 1787 14 51.6777 538.801 414.539
28891 1827 19 -17.4127 523.511 447.23
28891 1947 0 51.3842 589.344 358.288
28891 1971 5 102.546 593.096 366.376
28891 242 8 69.5923 427.312 453.803
28891 322 30 -10.269 452.258 178.311
28891 346 28 14.5063 418.893 36.639
28891 378 11 34.8228 604.85 13.7404
28891 386 15 23.683 601.639 10.4846
28891 1034 4 159.991 528.994 81.2134
28891 1050 8 99.8223 429.86 392.635
28891 1194 6 289.636 559.251 415.273
28891 8442 16 12.4802 585.789 356.718
